article_source,article_canonique,mots_cles,compte_comptable,taux_tva,categorie,sous_categorie,type_fournisseur,partitions_sources,contexte_ape,quasi_match_1_label,quasi_match_1_partition,quasi_match_1_ape,quasi_match_1_score,quasi_match_1_overlap,quasi_match_1_invoice_ids,quasi_match_2_label,quasi_match_2_partition,quasi_match_2_ape,quasi_match_2_score,quasi_match_2_overlap,quasi_match_2_invoice_ids
Mise à disposition,mise a disposition,mise | disposition,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
SURFAQUARTZ GRIS NATUREL,surfaquartz gris naturel,surfaquartz | gris | naturel,6061,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
Tuyaux,tuyaux,tuyaux,6063,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
COURONNE.250MM.COREX GR 16Q 68,couronne 250mm corex gr 16q 68,couronne | 250mm | corex | gr | 16q | 68,6063,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
Ingrédients Peinture,ingredients peinture,ingredients | peinture,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,,,,,,,,,,,,,,
GO 05 pompe,go 05 pompe,go | 05 | pompe,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
DALLE PORTÉE finition hélicoptére,dalle portee finition helicoptere,dalle | portee | finition | helicoptere,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
ISOCOL MORTIER SAC 25 KG,isocol mortier sac 25 kg,isocol | mortier | sac | 25,6062,20.0,exploitation_metier,emballage,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
DALLAGE finition hélicoptére,dallage finition helicoptere,dallage | finition | helicoptere,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
Réalisation de plancher béton à MANTES LA JOLIE,realisation de plancher beton a mantes la jolie,realisation | plancher | beton | mantes | jolie,6062,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
BLOC COFF BETON 500X200X200LUS,bloc coff beton 500x200x200lus,bloc | coff | beton | 500x200x200lus,6061,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
"COFFRAGE, PONCAGE",coffrage poncage,coffrage | poncage,6063,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
Carreau béton cellulaire 7/50 CXE 625x500x70mm - SIPOREX,carreau beton cellulaire 7 50 cxe 625x500x70mm siporex,carreau | beton | cellulaire | 7 | 50 | cxe,6063,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Colle béton cellulaire sac de 5kg,colle beton cellulaire sac de 5kg,colle | beton | cellulaire | sac | 5kg,6063,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Cordon Jointofeu diamètre 30 rouleau de 20m,cordon jointofeu diametre 30 rouleau de 20m,cordon | jointofeu | diametre | 30 | rouleau | 20m,6061,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Création dalle pour cantilvers,creation dalle pour cantilvers,creation | dalle | cantilvers,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_792041840,4399C,,,,,,,,,,,,
DALLAGE finition hélicoptére aVec SURFAQUARTZ + PRODUIT DE CURE + SCIAGE,dallage finition helicoptere avec surfaquartz produit de cure sciage,dallage | finition | helicoptere | surfaquartz | produit | cure,6063,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
DALLE PORTEE - Plancher bas du S/Sol,dalle portee plancher bas du s sol,dalle | portee | plancher | bas | s | sol,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
DALLE PORTéE finition brut,dalle portee finition brut,dalle | portee | finition | brut,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
Dallage Finition helicoptére avec Surfaquartz,dallage finition helicoptere avec surfaquartz,dallage | finition | helicoptere | surfaquartz,6063,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
Finition hélicoptére PH S/SOL finition brut,finition helicoptere ph s sol finition brut,finition | helicoptere | ph | s | sol | finition,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
GO pompe 05,go pompe 05,go | pompe | 05,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
GO pompe 07,go pompe 07,go | pompe | 07,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
"GRAVATS : Briques, terre, ciment, béton, pierres, sable. En cas de présence de déchets l'ensemble de la benne sera déclassé en DIB. DIB : Bois, platre, Placoplatre, ferraille, plastique, meubles, papier, cartons, déchets verts. Bon N° FQ-18954 08/11/2025 - Autre PARIS",gravats briques terre ciment beton pierres sable en cas de presence de dechets l ensemble de la benne sera declasse en dib dib bois platre placoplatre ferraille plastique meubles papier cartons dechets verts bon n fq 18954 08 11 2025 autre paris,gravats | briques | terre | ciment | beton | pierres,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
M3 POMPE Ni repris ni échangé,m3 pompe ni repris ni echange,m3 | pompe | ni | repris | ni | echange,6063,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
OUATE BLANCHE GAUFREE COLLEE 1000 FORMATS 23X25,ouate blanche gaufree collee 1000 formats 23x25,ouate | blanche | gaufree | collee | 1000 | formats,6061,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
CUTTER STANDARD 18MM AVEC 3 LAMES NOIR,cutter standard 18mm avec 3 lames noir,cutter | standard | 18mm | 3 | lames | noir,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
"PROMACURE S -Cure des bétons,phase solvant -BIDON DE 20 LITRES",promacure s cure des betons phase solvant bidon de 20 litres,promacure | s | cure | betons | phase | solvant,6063,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
ROND A BETON TOR HLE FE5005 6MM 3M,rond a beton tor hle fe5005 6mm 3m,rond | beton | tor | hle | fe5005 | 6mm,6061,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Rabot à béton essence,rabot a beton essence,rabot | beton | essence,6063,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
PLANCHER SUPERSTRUCTURE ( 100 % ) Finition brut,plancher superstructure 100 finition brut,plancher | superstructure | 100 | finition | brut,604,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
BPS C25/30 CEMI SR5+Cv D20 S3 XF1,bps c25 30 cemi sr5 cv d20 s3 xf1,bps | c25 | 30 | cemi | sr5 | cv,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
CUTTER A LAME CASSABLE 25 MM d213,cutter a lame cassable 25 mm d213,cutter | lame | cassable | 25 | mm | d213,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
CUTTER NOVI LAME RETRACT 18MM,cutter novi lame retract 18mm,cutter | novi | lame | retract | 18mm,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Fourniture des outils de forage perdus,fourniture des outils de forage perdus,fourniture | outils | forage | perdus,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
TERRE GRAVAT,terre gravat,terre | gravat,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
POUR PANNEAUX FIBRE CIMENT POUR SYSTEME UNI RIVET 11MM,pour panneaux fibre ciment pour systeme uni rivet 11mm,panneaux | fibre | ciment | systeme | uni | rivet,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Palette HMFC ciments 95x115 cm,palette hmfc ciments 95x115 cm,palette | hmfc | ciments | 95x115 | cm,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
PALETTE EQIOM GRANULATS,palette eqiom granulats,palette | eqiom | granulats,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
CARRELAGE SDB 60*120 GRIS DU MARAIS BEIGE Epaisseur 7mm. Emballé par 3 soit 216 m2/Bte 64.80 m2/Palette 35.82 kg/Bte,carrelage sdb 60 120 gris du marais beige epaisseur 7mm emballe par 3 soit 216 m2 bte 64 80 m2 palette 35 82 kg bte,carrelage | sdb | 60 | 120 | gris | marais,6062,20.0,exploitation_metier,emballage,fournisseur_materiaux,fr_bd_844858571,4321A,Cordon RJ45 Cat.6a S/FTP 1M Gris LSZH,fr_bd_844858571,4321A,0.0,gris,fr_bd_844858571:d6675772-4f2d-4ba9-a53e-d37a1dffea53,,,,,,
PALETTE LUSSIANA,palette lussiana,palette | lussiana,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
PALETTE CONSIGNE SLM OPL SPC,palette consigne slm opl spc,palette | consigne | slm | opl | spc,6022,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
1PX LOT 10 TUBE TULIPE IRL D16 GRIS 2.4M,1px lot 10 tube tulipe irl d16 gris 2 4m,1px | lot | 10 | tube | tulipe | irl,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_844858571,4321A,Cordon RJ45 Cat.6a S/FTP 1M Gris LSZH,fr_bd_844858571,4321A,0.0,gris,fr_bd_844858571:d6675772-4f2d-4ba9-a53e-d37a1dffea53,,,,,,
BASTAING BOIS 65x163 3 ML,bastaing bois 65x163 3 ml,bastaing | bois | 65x163 | 3 | ml,6061,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Brique lisse pleine rouge rieussequel 220 105 50 mm,brique lisse pleine rouge rieussequel 220 105 50 mm,brique | lisse | pleine | rouge | rieussequel | 220,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
CARRELAGES REVETEMENTS - Nez de marche en aluminium avec insert en L en intérieur - localisation : Escalier RDC et RDJ - (marches - contre marches paliers),carrelages revetements nez de marche en aluminium avec insert en l en interieur localisation escalier rdc et rdj marches contre marches paliers,carrelages | revetements | nez | marche | aluminium | insert,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
"DISQUE DIAMASTER 160X3,2/2,40X20 Z4 COUPE PANNEAUX ETERNIT",disque diamaster 160x3 2 2 40x20 z4 coupe panneaux eternit,disque | diamaster | 160x3 | 2 | 2 | 40x20,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
"Disque à tronconner les métaux -Novipro- Diam 125x1,6x22,2mm",disque a tronconner les metaux novipro diam 125x1 6x22 2mm,disque | tronconner | metaux | novipro | diam | 125x1,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
GANTS MANUT HAUTE VISIBILTE T10 JAUNE,gants manut haute visibilte t10 jaune,gants | manut | haute | visibilte | t10 | jaune,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
POCHE A JOINT BLISTER,poche a joint blister,poche | joint | blister,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
"PROF 1/4 RD FERME PVC ROG8Ql 8MM ROG801 2,5ML BLANC",prof 1 4 rd ferme pvc rog8ql 8mm rog801 2 5ml blanc,prof | 1 | 4 | rd | ferme | pvc,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
RONDELLE POINT FIXE ROUGE UNI RIVET,rondelle point fixe rouge uni rivet,rondelle | point | fixe | rouge | uni | rivet,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
PAREX MAITE BLANC SAC DE 25 KG (PAL 48),parex maite blanc sac de 25 kg pal 48,parex | maite | blanc | sac | 25 | pal,6061,20.0,exploitation_metier,emballage,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Clôture Grillagée Provisoire - Ht 2.00ml,cloture grillagee provisoire ht 2 00ml,cloture | grillagee | provisoire | ht | 2 | 00ml,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
PLIAGE ALUMINIUM 10/10 ANODISE + PERFO (DETAIL 5) Long : 2000 Dev : 320,pliage aluminium 10 10 anodise perfo detail 5 long 2000 dev 320,pliage | aluminium | 10 | 10 | anodise | perfo,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
ADH PVC ORANGE NOVIPRO (3) 33MX50MM,adh pvc orange novipro 3 33mx50mm,adh | pvc | orange | novipro | 3 | 33mx50mm,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
CHAINE ACIER LONGUEUR 1000MM 8MM DIAM 8016EURD,chaine acier longueur 1000mm 8mm diam 8016eurd,chaine | acier | longueur | 1000mm | 8mm | diam,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
CHAINE ACIER LONGUEUR 1500MM 8MM DIAM 8017EURD,chaine acier longueur 1500mm 8mm diam 8017eurd,chaine | acier | longueur | 1500mm | 8mm | diam,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Couteau à enduire type américain manche plastique inox 150mm noir,couteau a enduire type americain manche plastique inox 150mm noir,couteau | enduire | type | americain | manche | plastique,6061,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Lot 6 p gants easy grip t9 Réf.89163,lot 6 p gants easy grip t9 ref 89163,lot | 6 | p | gants | easy | grip,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
PLIAGE ALUMINIUM 10/10 ANODISE + PERFO (DETAIL 2 LARGEUR 350 Long : 2000 Dev : 442 Eco contribution,pliage aluminium 10 10 anodise perfo detail 2 largeur 350 long 2000 dev 442 eco contribution,pliage | aluminium | 10 | 10 | anodise | perfo,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
PLIAGE ALUMINIUM 10/10 ANODISE + PINCE COUDE (DETAIL 5 Long : 2000 Dev : 170 Eco contribution,pliage aluminium 10 10 anodise pince coude detail 5 long 2000 dev 170 eco contribution,pliage | aluminium | 10 | 10 | anodise | pince,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
PLIAGE ALUMINIUM 10/10 ANODISE + PLI ECRASE (DETAIL 5) Long : 2000 Dev : 170,pliage aluminium 10 10 anodise pli ecrase detail 5 long 2000 dev 170,pliage | aluminium | 10 | 10 | anodise | pli,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
MANCHE DE BALAI COCO PIN DOUILLE PLASTIQUE 120/24,manche de balai coco pin douille plastique 120 24,manche | balai | coco | pin | douille | plastique,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
BALAI COCO 29 CM DOUILE RESINE,balai coco 29 cm douile resine,balai | coco | 29 | cm | douile | resine,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
BALAI COCO 29CM A VIS NOVIPRO,balai coco 29cm a vis novipro,balai | coco | 29cm | vis | novipro,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
BALANCE VRAC CODE A CLOU VIS BOULON KG,balance vrac code a clou vis boulon kg,balance | vrac | code | clou | vis | boulon,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_844858571,4321A,,,,,,,,,,,,
DE RIVETEUSE UNIRIVET ALU,de riveteuse unirivet alu,riveteuse | unirivet | alu,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
MANCHE BALAI VIS ET ATTACHE PLASTIQ,manche balai vis et attache plastiq,manche | balai | vis | attache | plastiq,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
PLIAGE ALUMINIUM 10/10 ANODISE + PERFO (DETAIL 5) Long : 2000 Dev : 320 Eco contribution,pliage aluminium 10 10 anodise perfo detail 5 long 2000 dev 320 eco contribution,pliage | aluminium | 10 | 10 | anodise | perfo,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
TERRE,terre,terre,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Armature de poteau hauteur d'étage dimension 10cmx10cm 4HA10 avec cadre HA5 espacement variable longueur 3m réf PN41010X10,armature de poteau hauteur d etage dimension 10cmx10cm 4ha10 avec cadre ha5 espacement variable longueur 3m ref pn41010x10,armature | poteau | hauteur | d | etage | dimension,6061,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
BIG BAG VIDE 1.T400,big bag vide 1 t400,big | bag | vide | 1 | t400,6061,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
CABLE d*accélérateur (=10508) 140g,cable d accelerateur 10508 140g,cable | d | accelerateur | 10508 | 140g,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
CASQ CHANTIER RB40 BLC T53-61CM,casq chantier rb40 blc t53 61cm,casq | chantier | rb40 | blc | t53 | 61cm,6064,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Fourniture et mise en œuvre des platines de scellement 20*20_e=20mm,fourniture et mise en uvre des platines de scellement 20 20 e 20mm,fourniture | mise | uvre | platines | scellement | 20,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Gant manutention générale - milieu humide - tous travaux - taille 8 Novipro,gant manutention generale milieu humide tous travaux taille 8 novipro,gant | manutention | generale | milieu | humide | tous,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
PETITES FOURNITURES,petites fournitures,petites | fournitures,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_792041840 | fr_bd_844858571,4399C | 4321A,,,,,,,,,,,,
"TECHNOCE CEM II/B-LL 32,5R 25KG COU",technoce cem ii b ll 32 5r 25kg cou,technoce | cem | ii | b | ll | 32,6021,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
VIS 5x10 poulie tal.(5382080=164412)wur,vis 5x10 poulie tal 5382080 164412 wur,vis | 5x10 | poulie | tal | 5382080 | 164412,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
APPLICATEUR LUKO AVEC 3 EPONGES UN BAC = ENVIRON 250 M2,applicateur luko avec 3 eponges un bac environ 250 m2,applicateur | luko | 3 | eponges | un | bac,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
BA13 FLAM 1.2 X 2.5M,ba13 flam 1 2 x 2 5m,ba13 | flam | 1 | 2 | 2 | 5m,6061,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
BACHE PRO POLYPROTEC ACTI 1000X25MM,bache pro polyprotec acti 1000x25mm,bache | pro | polyprotec | acti | 1000x25mm,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
BIG BAG 1T400 0/10 MELANGE,big bag 1t400 0 10 melange,big | bag | 1t400 | 0 | 10 | melange,6022,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
