priority_rank,occurrences,canonical_label,source_label_main,proposed_account,tva_main,ape_supplier_main,ape_client_main,decision_keep_or_exclude,corrected_category,corrected_account,corrected_canonical_label,tva_rule_note,comment
84,11,loyer empl stationnement for,Loyer Empl.Stationnement (FOR),6112,0.0,6820A,,,,,,,
85,11,abonnement aux services d entreprise novembre,Abonnement aux services d'entreprise NOVEMBRE 2024 - Scanne des documents - Logiciel de suivi d'entreprise - Conseil en entreprise,706,20.0,5829C,,,,,,,
86,11,taxes et contributions cspe,Taxes et contributions - CSPE,6351,20.0,4520A,,,,,,,
87,11,rsd,RSD,6351,20.0,4632A,,,,,,,
88,11,epicerie,EPICERIE 5.5%,70710000,5.5,,,,,,,,
89,11,djakato 5kg espagne,DJAKATO 5KG ESPAGNE,707100,5.5,4631Z,,,,,,,
90,11,montant total de la commande ttc,Montant total de la commande TTC,706100,0.0,6312Z,,,,,,,
91,11,tva deductible encaissements plant assistance,TVA déductible 10% Encaissements - PLANT ASSISTANCE,4456617,10.0,,,,,,,,
92,10,loyer garage no,LOYER GARAGE No 03039319930130,6122,20.0,6820A,,,,,,,
93,10,acompte sur tva,"ACOMPTE (sur TVA 20,00%)",404,20.0,4752B,,,,,,,
94,10,chevilles a visser isd special isolant,CHEVILLES A VISSER ISD SPECIAL ISOLANT X4,70710000,20.0,4752B,,,,,,,
95,10,manchon pvc sable d,MANCHON PVC SABLE D.80,70710000,20.0,4752B,,,,,,,
96,10,electricite courant fort fourniture et pose,ÉLECTRICITE - COURANT FORT - Fourniture et pose d'une prise spécifique 32A+T. Inclus : tirage de cables. 1 prise plaque de cuisson : 32A+T. Gamme Legrand Dooxie (finition blanc) ou équivalent Localisation : Cuisine.,706,10.0,4120B,,,,,,,
97,10,ioauf interbev ovin am,IOAUF - Interbev Ovin AM,6351,20.0,4632A,,,,,,,
98,10,ibauf interbev boeuf am,IBAUF - Interbev Boeuf AM,635,20.0,4632A,,,,,,,
99,10,facture,FACTURE 1402963688,401,,1061A,,,,,,,
100,9,basse sans poitrine de veau,BASSE SANS POITRINE DE VEAU,707100,5.5,6311Z,4632A,,,,,,
101,9,provision pour charges,Provision pour charges,6111,0.0,6831Z,,,,,,,
102,9,rabais remise prorata occup,"Rabais, Remise (Prorata Occup)",6119,0.0,6820A,,,,,,,
103,9,rabais remise prorata occup,"Rabais, Remise (Prorata Occup)",709100,0.0,6820A,,,,,,,
104,9,contributions et taxes liees a l,Contributions et taxes liées à l'énergie - Contribution Tarifaire d'Acheminement (CTA),6351,20.0,4520A,,,,,,,
105,9,interbev ovin am,Interbev Ovin AM,6351,20.0,4632A,,,,,,,
106,9,abonnement aux services d entreprise scanne,Abonnement aux services d'entreprise - Scanne des documents - Logiciel de suivi d'entreprise - Conseil en entreprise,706,20.0,5829C,,,,,,,
107,9,solde debiteur facture n,Solde débiteur - Facture N° 0024057034,411,0.0,4632A,,,,,,,
108,9,epicerie fine,EPICERIE FINE,70710000,5.5,,,,,,,,
109,9,citron vert bresil,CITRON VERT BRESIL,707100,5.5,4631Z,,,,,,,
110,9,ail 20x200gr chine,AIL 20x200gr CHINE,707100,5.5,4631Z,,,,,,,
111,9,banane verte del monte equateur,BANANE VERTE DEL MONTE EQUATEUR,707100,5.5,4631Z,,,,,,,
112,9,reglement de facture fv2410 nasrya,Règlement de facture FV2410-10745 (NASRYA),401,,4632C,,,,,,,
113,8,elaboration de liasse fiscale et teletransmission,Elaboration de liasse fiscale et télétransmission,706100,20.0,6920Z,,,,,,,
114,8,loyer garage no,LOYER GARAGE No 03039319930130,6123,20.0,6820A,,,,,,,
115,8,loyer garage no,LOYER GARAGE No 03039319930130,6112,20.0,6820A,,,,,,,
116,8,provision charges generales,PROVISION CHARGES GENERALES,6112,20.0,6820A,,,,,,,
117,8,abonnement sfr fibre starter,Abonnement SFR Fibre Starter,706100,20.0,6110Z,,,,,,,
118,8,speciale annulation annulation de la valide,Offre Spéciale - Annulation - Annulation de la prestation 202529420918/2 - Valide de 06/01/2023 a 06/07/2023,706100,20.0,642B,,,,,,,
119,8,versement d acompte commande n,Versement d'acompte - Commande N° 590741,706,20.0,4752B,,,,,,,
120,8,fond unique pvc sable dev,FOND UNIQUE PVC SABLE DEV 25,70710000,20.0,4752B,,,,,,,
121,8,jonction pvc sable avec joint dev,JONCTION PVC SABLE AVEC JOINT DEV 25,70710000,20.0,4752B,,,,,,,
122,8,angle exterieur vodalis sable,ANGLE EXTERIEUR VODALIS SABLE,70710000,20.0,4752B,,,,,,,
123,8,foie de veau carcasse abats,FOIE DE VEAU CARCASSE ABATS,707100,5.5,4639B,,,,,,,
124,8,basse cote sous vide beuf,BASSE COTE SOUS VIDE BEUF,707100,5.5,4639B,,,,,,,
125,8,indemnite forfaitaire frais de recouvrement,Indemnité forfaitaire frais de recouvrement,658,20.0,4632A,,,,,,,
126,8,patate douce rouge 10kg bresil,PATATE DOUCE ROUGE 10KG BRESIL,707100,5.5,4631Z,,,,,,,
127,8,montant titre de la facture precedente,Montant dû au titre de la facture précédente,411000,0.0,6312Z,,,,,,,
128,7,abonnement aux services d entreprise fevrier,Abonnement aux services d'entreprise FEVRIER 2024 - Scanne des documents - Logiciel de suivi d'entreprise - Conseil en entreprise,706,20.0,5829C,,,,,,,
129,7,acompte charges annexes for,Acompte charges annexes (FOR),6112,0.0,6820A,,,,,,,
130,7,abonnement aux services d entreprise juillet,Abonnement aux services d'entreprise JUILLET 2024 - Scanne des documents - Logiciel de suivi d'entreprise - Conseil en entreprise,706,20.0,5829C,,,,,,,
131,7,location livebox,Location Livebox,6123,20.0,6110Z,,,,,,,
132,7,ivguf,IVGUF,6351,20.0,4632A,,,,,,,
133,7,indemnite forfaitaire frais de recouvrement eur,Indemnité forfaitaire frais de recouvrement 40 EUR (article D4415 Code du commerce),6581,20.0,4632A,,,,,,,
134,7,ivgue interbev veau mg,IVGUE - Interbev Veau MG,6351,20.0,4632A,,,,,,,
135,7,frais fixes,Frais fixes,708500,20.0,4639B,,,,,,,
136,7,agneau moins de,AGNEAU ******* MOINS DE 12 MOIS,4010,5.5,4632A,,,,,,,
137,7,banane fruit kg france,BANANE FRUIT 19 KG FRANCE,707100,5.5,4631Z,,,,,,,
138,7,ail vrac 10kg chine,AIL VRAC 10KG CHINE,707100,5.5,4631Z,,,,,,,
139,7,gingembre kg perou,GINGEMBRE 13.6 KG PEROU,707100,5.5,4631Z,,,,,,,
140,7,pomme de terre 5kg pdt france,POMME DE TERRE 5KG PDT FRANCE,707100,5.5,4631Z,,,,,,,
141,7,facture fv2409 pour avigros,Facture FV2409-01085 pour AVIGROS,401,0.0,4632C,,,,,,,
142,7,etat a payer avoir avigros,État à payer - Avoir AVIGROS,411,0.0,4632C,,,,,,,
143,6,oasis tropical slim bte 33cl,OASIS TROPICAL SLIM BTE 33CL,70710000,5.5,4639B,,,,,,,
144,6,caprisun multi 20clx10,CAPRISUN MULTI 20CLX10,70710000,5.5,4639B,,,,,,,
145,6,hawai tropical boite 33cl,HAWAI TROPICAL BOITE 33CL,70710000,5.5,4639B,,,,,,,
146,6,cocacola cherry slim 33cl,COCACOLA CHERRY SLIM 33CL,70710000,5.5,4639B,,,,,,,
147,6,loyer,LOYER DU 01/03/2025 AU 31/03/2025,6122,20.0,6820B,,,,,,,
148,6,contribution tarifaire d acheminement x,"Contribution tarifaire d'acheminement (30,52 € x 0,2193)",6351,5.5,,,,,,,,
149,6,provision charges generales,PROVISION CHARGES GENERALES,6122,20.0,6820A,,,,,,,
150,6,perrier boite slim 33cl,PERRIER BOITE SLIM 33CL,70710000,5.5,4639B,,,,,,,
151,6,charges generales avis n,Charges générales DU 01/10/2024 AU 31/10/2024 AVIS N° 124710765 DU 30/09/2024,6123,0.0,6820A,,,,,,,
152,6,charges generales avis n,Charges générales - Période 01/01/2025 au 31/01/2025 - Avis N° 127150257,6122,0.0,6820A,,,,,,,
153,6,abonnement aux services d entreprise decembre,Abonnement aux services d'entreprise DECEMBRE 2024 - Scanne des documents - Logiciel de suivi d'entreprise - Conseil en entreprise,706,20.0,5829C,,,,,,,
154,6,lld tapis logo location longue duree,LLD TAPIS LOGO : LOCATION LONGUE DUREE TAPIS LOGO,6112,20.0,4753Z,,,,,,,
155,6,eco contribution valdelia 2a2 produits sup,ECO CONTRIBUTION VALDELIA 2A2 PRODUITS SUP 95 MASSE METAL,44587,20.0,4673A,,,,,,,
156,6,manchon pvc sable d,MANCHON PVC SABLE D.80,707100,20.0,4752B,,,,,,,
157,6,taxes et contributions cta,Taxes et contributions - CTA,6351,5.5,4520A,,,,,,,
158,6,frais d abonnement avoir annulation de,Frais d'abonnement - Avoir 1 mois 06.03.2023-06.04.2023 - Annulation de la prestation 202529805832/1,706100,20.0,642B,,,,,,,
159,6,moins value cee,Moins value CEE,758,5.5,4120B,,,,,,,
160,6,naissance centrale pvc sable joint dev25,NAISSANCE CENTRALE PVC SABLE JOINT DEV25,70710000,20.0,4752B,,,,,,,
161,6,interbev boeuf mg,Interbev Boeuf MG,6351,20.0,4632A,,,,,,,
162,6,fressure de mouton carcasse abats,FRESSURE DE MOUTON CARCASSE ABATS,707100,5.5,4639B,,,,,,,
163,6,garde garde,GARDE - GARDE,708500,20.0,4639B,,,,,,,
164,6,rumsteack carcasse beuf n dossier n,"RUMSTEACK CARCASSE BEUF N° dossier : 2421100721 N° tracabilité : 0000004 Label : ; Né en : BELGIQUE ; Elevé en : BELGIQUE ; Code abattoir : 59 ; Abattu en : BELGIQUE ; Atelier découpe : 94-065-243 ; Decoupé en : FRANCE ; Catégorie : VACHE ; Type : VIANDE ; Race : BLANC BLEU BELGE ; Date d'abattage : Assujetti aux taxes : AGIOS, GARDE, IBGUF, RSD",707100,5.5,4639B,,,,,,,
165,6,bbv,BBV,401,20.0,6311Z,,,,,,,
166,6,avoir client mr melbouci yann,Avoir Client 200031 MR MELBOUCI YANN,411,5.5,4639B,,,,,,,
167,6,interets debiteurs exo,Intérêts débiteurs (exo),6611,0.0,6419Z,,,,,,,
168,6,aubergine violette 5kg hollande,AUBERGINE VIOLETTE 5KG HOLLANDE,707100,5.5,4631Z,,,,,,,
169,6,patate douce orange 6kg egypte,PATATE DOUCE ORANGE 6KG EGYPTE,707100,5.5,4631Z,,,,,,,
170,6,carotte 10kg belgique,CAROTTE 10KG BELGIQUE,707100,5.5,4631Z,,,,,,,
171,6,oignon jaune 5kg france,OIGNON JAUNE 5KG FRANCE,707100,5.5,4631Z,,,,,,,
172,6,gomboagrolulo 4kg espagne,GOMBOAGROLULO 4KG ESPAGNE,707100,5.5,4631Z,,,,,,,
173,6,plantain 22k platimium colombie,PLANTAIN 22K PLATIMIUM COLOMBIE,70710000,5.5,4631Z,,,,,,,
174,5,cocacola boite slim 33cl,COCACOLA BOITE SLIM 33CL,70710000,5.5,4639B,,,,,,,
175,5,rape frais italie 1kg formi,RAPE FRAIS ITALIE 1KG FORMI,70710000,5.5,4639B,,,,,,,
176,5,boursin cuisine afh 1kg,BOURSIN CUISINE AFH 1KG,70710000,5.5,4639B,,,,,,,
177,5,merguez bf tranch hal 1kg,MERGUEZ BF TRANCH. HAL 1KG,70710000,5.5,4639B,,,,,,,
178,5,deliveroo remuneration fixe semaine active minimum,Deliveroo: Rémunération fixe 25€/ semaine active (minimum 2 commandes),706,20.0,5610C,4638B,,,,,,
179,5,general regularisation,General: Regularisation,706,20.0,5610C,4638B,,,,,,
180,5,contrib public elec,Contrib. service public élec du 15/07/24 au 14/08/24,6351,20.0,,,,,,,,
181,5,provisions sur charges,PROVISIONS SUR CHARGES DU 01/11/2024 AU 30/11/2024,6125,0.0,6820B,,,,,,,
182,5,reglement de factures avoir vav2501,Règlement de factures - Avoir VAV2501-04617,401,,4632C,,,,,,,
183,5,taxes locales et contributions ht contribution,Taxes locales et contributions (HT) - Contribution Tarifaire d'Acheminement (CTA),6351,5.5,4520A,,,,,,,
184,5,loyer principal,Loyer Principal,6112,0.0,6831Z,,,,,,,
185,5,proces verbal assemblee generale ordinaire approbation,Procés verbal Assemblée Générale Ordinaire : - approbation des comptes - affectation du résultat pour I'exercice comptable 2023,706100,20.0,5829C,,,,,,,
186,5,frais de greffe,Frais de greffe,706100,20.0,5829C,,,,,,,
187,5,acompte charges annexes for,Acompte charges annexes (FOR),6113,20.0,6820A,,,,,,,
188,5,abonnement aux services d entreprise mars,Abonnement aux services d'entreprise MARs 2024 - Scanne des documents - Logiciel de suivi d'entreprise - Conseil en entreprise,706,20.0,5829C,,,,,,,
189,5,abonnement aux services d entreprise octobre,Abonnement aux services d'entreprise OCTOBRE 2024 - Scanne des documents - Logiciel de suivi d'entreprise - Conseil en entreprise,706,20.0,5829C,,,,,,,
190,5,abonnement aux services d entreprise juin,Abonnement aux services d'entreprise JUIN 2024 - Scanne des documents - Logiciel de suivi d'entreprise - Conseil en entreprise,706,20.0,5829C,,,,,,,
191,5,taxe cifog,Taxe CIFOG,6351,5.5,4632C,,,,,,,
192,5,taxe rsd,Taxe RSD,6351,20.0,4632A,,,,,,,
193,5,taxes sur la consommation finale d,Taxes sur la Consommation Finale d'Electricité (TCFE),6351,5.5,4520A,,,,,,,
194,5,eco contribution valobat canalisations tubes flexibles,ECO CONTRIBUTION VALOBAT 1102001 CANALISATIONS TUBES FLEXIBLES RACCORD,707100,20.0,4673A,,,,,,,
195,5,chevilles a visser isd special isolant,CHEVILLES A VISSER ISD SPECIAL ISOLANT X4,707100,20.0,4752B,,,,,,,
196,5,abonnement aux services d entreprise avril,Abonnement aux services d'entreprise AVRIL 2024 - Scanne des documents - Logiciel de suivi d'entreprise - Conseil en entreprise,706,20.0,5829C,,,,,,,
197,5,vente viande halal,VENTE VIANDE HALAL,707100,5.5,4639B,,,,,,,
198,5,pied de veau,PIED DE VEAU,707100,5.5,4639B,,,,,,,
199,5,entrecote sous vide beuf,ENTRECOTE SOUS VIDE BEUF,707100,5.5,4639B,,,,,,,
200,5,ibaff,IBAFF,6351,20.0,4632A,,,,,,,
