article_source,normalized_label,invoice_count,line_occurrences,sample_account,already_in_base,partitions
BEURRE GD TOURAGE FLECHARD CT 5X2KG,beurre gd tourage flechard ct 5x2kg,74,74,6011,False,fr_bd_890233000
AGNEAU MOINS DE 12 MOIS,agneau moins de 12 mois,73,103,6011,False,fr_bd_519665103
SUCRE CRISTAL FIN SAC 25KG,sucre cristal fin sac 25kg,72,72,601,False,fr_bd_880517875
FARINE LABEL ROUGE L EMOTION 100 % IDF SAC 25 KG,farine label rouge l emotion 100 idf sac 25 kg,71,73,6011,False,fr_bd_890233000
BASSE COTE VIANDE HALLAL,basse cote viande hallal,69,104,6011,False,fr_bd_519665103
PILON DE POULET ID HALAL,pilon de poulet id halal,68,72,6011,False,fr_bd_519665103
CRISTAL T65 25KG,cristal t65 25kg,68,71,6011,False,fr_bd_880517875
LAIT UHT 1/2 ECREME BRIQ PACK 12X1L,lait uht 1 2 ecreme briq pack 12x1l,67,67,6011,False,fr_bd_880517875 | fr_bd_890233000
BANANE,banane,65,67,601,False,fr_bd_880517875 | fr_bd_890233000
POULET PAC HALAL CEE,poulet pac halal cee,64,115,6011,False,fr_bd_519665103
CHEVRE BUCHETTE 180G LA PIECE,chevre buchette 180g la piece,64,64,601,False,fr_bd_880517875
AILE DE POULET HALAL UE,aile de poulet halal ue,63,63,6011,False,fr_bd_519665103
FROMAGE BLANC 2.8%MG SEAU 5KG,fromage blanc 2 8 mg seau 5kg,63,63,6011,False,fr_bd_880517875 | fr_bd_890233000
CHORIZO TR BQ 500G,chorizo tr bq 500g,62,62,6011,False,fr_bd_880517875 | fr_bd_890233000
COCACOLA BOITE SLIM 33CL,cocacola boite slim 33cl,61,61,6068,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
DECRO,decro,60,60,6068,False,fr_bd_519665103
EMMENTAL RAPE UE 1KG,emmental rape ue 1kg,60,60,6011,False,fr_bd_880517875 | fr_bd_890233000
SAL ICEBERG MC PC DEMIPALX28 C1 ESESPAGNE,sal iceberg mc pc demipalx28 c1 esespagne,59,59,601,False,fr_bd_890233000
EAU CRISTALINE PET 6X1.5L,eau cristaline pet 6x1 5l,58,58,6068,False,fr_bd_890233000
PAIN CHOCOLAT BEURRE 75G *,pain chocolat beurre 75g,57,62,601,False,fr_bd_880517875
BEURRE DOUX 82% BLOC 25KG,beurre doux 82 bloc 25kg,57,57,6011,False,fr_bd_880517875 | fr_bd_890233000
CREME UHT 35% 1L MC BK AP,creme uht 35 1l mc bk ap,57,57,601,False,fr_bd_890233000
SEL FIN DE 25 KG,sel fin de 25 kg,57,57,6011,False,fr_bd_880517875
BEURRE SEC G.TOUR 2KG FLECH,beurre sec g tour 2kg flech,56,59,6011,False,fr_bd_890233000
BLANC OEUF LIQUIDE FERME DU PRE 1KG,blanc oeuf liquide ferme du pre 1kg,56,56,6011,False,fr_bd_880517875 | fr_bd_890233000
SAUMON FUME TRANCHE 800G,saumon fume tranche 800g,56,56,601,False,fr_bd_880517875
CROISSANT BEURRE 65G *,croissant beurre 65g,55,57,601,False,fr_bd_880517875
Vente LeParisien,vente leparisien,53,76,6068,False,fr_bd_880517875
Vente EQUIPE SEM,vente equipe sem,53,58,6068,False,fr_bd_880517875
AILES DE POULET HALAL CEE,ailes de poulet halal cee,51,52,6011,False,fr_bd_519665103
Vente LP DIM,vente lp dim,51,51,6068,False,fr_bd_880517875
CORDON DE VOLAILLE HALAL,cordon de volaille halal,50,50,6011,False,fr_bd_519665103
JAUNE OEUF LIQUIDE FERME DU PRE 1KG,jaune oeuf liquide ferme du pre 1kg,50,50,6011,False,fr_bd_890233000
LIPTON PECHE BTE 33CL SLIM,lipton peche bte 33cl slim,49,49,6068,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
VEAU CREPINE ORIGINE :FRANCE,veau crepine origine france,49,49,6011,False,fr_bd_519665103
VEAU FOIE ORIGINE :PAYS-BAS,veau foie origine pays bas,49,49,6011,False,fr_bd_519665103
JAVEL EXTRAIT 2.6% BIDON 5L,javel extrait 2 6 bidon 5l,48,48,6063,False,fr_bd_890233000
GROSEILLE RGE 125G PAYS-BAS C1 PAYS BAS,groseille rge 125g pays bas c1 pays bas,47,47,601,False,fr_bd_890233000
LEVURE LEVAMAX ECOPACK (30x500G) 15 KG,levure levamax ecopack 30x500g 15 kg,47,47,601,False,fr_bd_880517875
POULET FERM. JAUNE PAC HALAL,poulet ferm jaune pac halal,47,47,6011,False,fr_bd_519665103
CRISTALI 1.5L,cristali 1 5l,46,46,6068,False,fr_bd_880517875 | fr_bd_890233000
EMMENTAL RAPE EXTRA FIN 1 KG UE,emmental rape extra fin 1 kg ue,45,47,601,False,fr_bd_880517875
FOIE DE VEAU UE (V),foie de veau ue v,45,45,6011,False,fr_bd_519665103
GÉSIER DE POULET CEE HALAL,gesier de poulet cee halal,45,45,6011,False,fr_bd_519665103
JAMBON DD 16 TRANCHES LE PAQUET,jambon dd 16 tranches le paquet,45,45,601,False,fr_bd_880517875
MAYONNAISE ALLEGEE GYMA 4.7KG,mayonnaise allegee gyma 4 7kg,45,45,601,False,fr_bd_880517875
Vente EQUIPE DIM,vente equipe dim,44,45,6068,False,fr_bd_880517875
BATONNETS FUME 1KG REF956,batonnets fume 1kg ref956,44,44,601,False,fr_bd_880517875
SELEC PLATINE LR CRC 25KG,selec platine lr crc 25kg,44,44,6011,False,fr_bd_880517875
VEAU FOIE,veau foie,44,44,607000,False,fr_bd_519665103
COCA SANS SUCRES 33CL,coca sans sucres 33cl,43,43,6068,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
OEUF BLANC LIQ.1KG SERVIS OEUF-OR.FRANCE,oeuf blanc liq 1kg servis oeuf or france,43,43,601,False,fr_bd_880517875
"PATE A TARTINER 2,5KG MC",pate a tartiner 2 5kg mc,43,43,6011,False,fr_bd_890233000
PILON DE POULET HALAL UE,pilon de poulet halal ue,42,42,6011,False,fr_bd_519665103
SACHETS 4 BAGUETTES VGDP x 500,sachets 4 baguettes vgdp x 500,42,42,60225,False,fr_bd_880517875
AGNEAU,agneau,41,63,6011,False,fr_bd_519665103
BEURRE TARTINABLE DOUX 1KG,beurre tartinable doux 1kg,41,41,601,False,fr_bd_880517875
BUCHETTE MELANGE 850G GUSTINE,buchette melange 850g gustine,41,41,601,False,fr_bd_890233000
CUISSE DE DINDE HALAL,cuisse de dinde halal,41,41,6011,False,fr_bd_519665103
"LEVURE 500G*5 HIRONDELLE 2,5KG",levure 500g 5 hirondelle 2 5kg,41,41,6011,False,fr_bd_890233000
CHAMPIGNON DE PARIS ECO+ 200G,champignon de paris eco 200g,40,49,601,False,fr_bd_890233000
POMME DE TERRE QUARTIER,pomme de terre quartier,40,44,6011,False,fr_bd_519665103
FOND PLIE RAINE OR/NOIR 13X4.5CM PQT 200,fond plie raine or noir 13x4 5cm pqt 200,40,40,6061,False,fr_bd_880517875 | fr_bd_890233000
RUSTI CARACTERE SAC 25 KG,rusti caractere sac 25 kg,40,40,6011,False,fr_bd_890233000
SUCRE CRISTAL SAC 25KG,sucre cristal sac 25kg,40,40,6011,False,fr_bd_880517875 | fr_bd_890233000
REX BUCHERON SAC DE 25KG IREKS 111.3,rex bucheron sac de 25kg ireks 111 3,39,43,601,False,fr_bd_880517875
PANÉS DE VOLAILLE CEE HALAL,panes de volaille cee halal,39,39,6011,False,fr_bd_519665103
PILON DE POULET HALAL CEE,pilon de poulet halal cee,39,39,6011,False,fr_bd_519665103
RUMSTEACK VIANDE HALLAL BLANC BLEU BELGE,rumsteack viande hallal blanc bleu belge,38,55,6011,False,fr_bd_519665103
CORDON BLEU S/AT HALAL,cordon bleu s at halal,38,38,6011,False,fr_bd_519665103
AGNEAU TETE ORIGINE :FRANCE,agneau tete origine france,37,37,6011,False,fr_bd_519665103
COMPOTE PATIS.26% 5/1,compote patis 26 5 1,37,37,601,False,fr_bd_880517875
OASIS TROPICAL SLIM BTE 33CL,oasis tropical slim bte 33cl,37,37,6068,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
VEAU CREPINE,veau crepine,37,37,607000,False,fr_bd_519665103
VGDP SACH 1 BAGU X500,vgdp sach 1 bagu x500,37,37,60225,False,fr_bd_880517875
AGNEAU FRESSURE ORIGINE :FRANCE,agneau fressure origine france,36,36,6011,False,fr_bd_519665103
MARG BOMAR BRIOCHE INCORP PAIN 500G P/20,marg bomar brioche incorp pain 500g p 20,36,36,6011,False,fr_bd_880517875
MYRTILLE BQ 125G PEROU C1 PEROU,myrtille bq 125g perou c1 perou,36,36,6011,False,fr_bd_890233000
POULET ESCALOPE CRU 190G X10KG HALAL,poulet escalope cru 190g x10kg halal,36,36,601,False,fr_bd_880517875
RIOBA ABC ORANGE TO 25CL,rioba abc orange to 25cl,36,36,6068,False,fr_bd_880517875 | fr_bd_890233000
RUMSTEACK BLANC BLEU BELGE VIANDE HALLAL,rumsteack blanc bleu belge viande hallal,35,54,6011,False,fr_bd_519665103
CUBES DE BLEU 14X14MM 1.3KG SURGELE IQF,cubes de bleu 14x14mm 1 3kg surgele iqf,35,35,601,False,fr_bd_880517875
EMMENTAL TRANCHE 15x5 1KG,emmental tranche 15x5 1kg,34,34,601,False,fr_bd_880517875
HUILE D'OLIVE EXTRA VIERGE 5L,huile d olive extra vierge 5l,34,34,601,False,fr_bd_880517875
LAIT 1/2 ECREME FRANCAIS P/6 UHT,lait 1 2 ecreme francais p 6 uht,34,34,601,False,fr_bd_880517875
LARDONS NATURES 1KG MC,lardons natures 1kg mc,34,34,6011,False,fr_bd_890233000
VEAU CREPINE ORIGINE :FRANCE TRACE : 0000001 N° ABT : FR,veau crepine origine france trace 0000001 n abt fr,33,35,6011,False,fr_bd_519665103
BEURRE SEC TOURAGE 1KG FLECHAR,beurre sec tourage 1kg flechar,33,34,6011,False,fr_bd_890233000
CHORIZO TRANCHE 1KG SURGELE DIAM 42,chorizo tranche 1kg surgele diam 42,33,33,601,False,fr_bd_880517875
MOZZARELLA COSSETTE 2KG,mozzarella cossette 2kg,33,33,601,False,fr_bd_880517875
CREME MASCARPONE 40%MG POT 500G,creme mascarpone 40 mg pot 500g,32,32,6011,False,fr_bd_890233000
CREPINE VEAU,crepine veau,32,32,6011,False,fr_bd_519665103
DONUTS FILET POULET,donuts filet poulet,32,32,6011,False,fr_bd_519665103
FRAISE BQ 500G BELGIQUE C1BELGIQUE,fraise bq 500g belgique c1belgique,32,32,601,False,fr_bd_880517875 | fr_bd_890233000
ORANGINA SLIM BOITE JAUN 33CL,orangina slim boite jaun 33cl,32,32,6068,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
BASSE SANS POITRINE DE VEAU - VIANDE HALLAL,basse sans poitrine de veau viande hallal,31,54,6011,False,fr_bd_519665103
LAIT UHT 1/2ECR 1L PPX BK (D,lait uht 1 2ecr 1l ppx bk d,31,31,601,False,fr_bd_890233000
CHEVREAU HALAL,chevreau halal,30,32,6011,False,fr_bd_519665103
100 SACS DE REGROUPEMENT,100 sacs de regroupement,30,30,60225,False,fr_bd_890233000
ABRICOT OREILLONS 3/1 BROVER,abricot oreillons 3 1 brover,30,30,6061,False,fr_bd_880517875
AROME VANILLE GOURMET BTLE 1L,arome vanille gourmet btle 1l,30,30,6011,False,fr_bd_880517875 | fr_bd_890233000
BASSE COTE,basse cote,30,30,6011,False,fr_bd_519665103
Commission sur vente EQUIPE SEM,commission sur vente equipe sem,30,30,6068,False,fr_bd_880517875
MC OLIV. VERTES RONDELLE A10,mc oliv vertes rondelle a10,30,30,601,False,fr_bd_890233000
TESTICULE AGNEAU,testicule agneau,30,30,6011,False,fr_bd_519665103
"CREME FRAICHE 15%,DELISSE,202G",creme fraiche 15 delisse 202g,29,63,601,False,fr_bd_890233000
CASQUE AGNEAU,casque agneau,29,35,6011,False,fr_bd_519665103
BUN'N'ROLL BF PAC SURG CT 50X85G,bun n roll bf pac surg ct 50x85g,29,30,6011,False,fr_bd_890233000
AGNEAU CREPINE,agneau crepine,29,29,607000,False,fr_bd_519665103
AMANDE POUDRE 10KG,amande poudre 10kg,29,29,601,False,fr_bd_880517875
CONCOMBRE,concombre,29,29,601,False,fr_bd_880517875 | fr_bd_890233000
CUISSE POULET HALAL CEE 10KG origine : NL,cuisse poulet halal cee 10kg origine nl,29,29,6071,False,fr_bd_519665103
*SUCRE GRAIN N6 BS SAC 5KG,sucre grain n6 bs sac 5kg,28,28,601,False,fr_bd_890233000
CARTH'AGRUME CITRON 1L,carth agrume citron 1l,28,28,6061,False,fr_bd_880517875
FRESSURE AGNEAU PIECE provenan,fressure agneau piece provenan,28,28,6011,False,fr_bd_519665103
GARNITURE PIZZA 4/4,garniture pizza 4 4,28,28,601,False,fr_bd_880517875
L'EQUIPE SEMAINE,l equipe semaine,28,28,6068,False,fr_bd_880517875
LEVURE BOULANGERE,levure boulangere,28,28,6011,False,fr_bd_890233000
OLIVE VERTE RONDELLE BTE 3/1,olive verte rondelle bte 3 1,28,28,6011,False,fr_bd_880517875 | fr_bd_890233000
POIRE 3/1,poire 3 1,28,28,601,False,fr_bd_880517875
POULET FERMIER JAUNE PAC HALAL,poulet fermier jaune pac halal,28,28,6011,False,fr_bd_519665103
RUSTI CARACTERE EN 25 KG,rusti caractere en 25 kg,28,28,6011,False,fr_bd_890233000
Vente Le JDD,vente le jdd,28,28,6068,False,fr_bd_880517875
AGNEAU PANSE VERTE SALEE,agneau panse verte salee,27,27,607000,False,fr_bd_519665103
CHAUSSON POMMES 100G *,chausson pommes 100g,27,27,601,False,fr_bd_880517875
FOIE DE POULET HALAL,foie de poulet halal,27,27,6011,False,fr_bd_519665103
GÉSIER DE POULET HALAL UE,gesier de poulet halal ue,27,27,6011,False,fr_bd_519665103
OEUF 360 M PPX,oeuf 360 m ppx,27,27,601,False,fr_bd_890233000
PATE PISTACHE COLOREE MANE 1KG,pate pistache coloree mane 1kg,27,27,601,False,fr_bd_880517875
SCHWEPPES AGRUM SLIM 33CL,schweppes agrum slim 33cl,27,27,6068,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
CHOCOLAT BLANC 30% DGF CT 10KG,chocolat blanc 30 dgf ct 10kg,26,26,601,False,fr_bd_890233000
Fourniture d'électricité,fourniture d electricite,26,26,6061,False,fr_bd_880517875 | fr_bd_890233000
LARDONS FUMES ALLUMETTES,lardons fumes allumettes,26,26,601,False,fr_bd_890233000
MC 500 BATONS 1.6KG 44%,mc 500 batons 1 6kg 44,26,26,601,False,fr_bd_890233000
OEUF 360 G PPX,oeuf 360 g ppx,26,26,601,False,fr_bd_890233000
OEUF LIQ. BLANC BD 5KG OVOTEAM,oeuf liq blanc bd 5kg ovoteam,26,26,601,False,fr_bd_880517875 | fr_bd_890233000
ROSETTE DE LYON EN TRANCHE 500G,rosette de lyon en tranche 500g,26,26,601,False,fr_bd_880517875
POULET PAC HALAL UE,poulet pac halal ue,25,36,6011,False,fr_bd_519665103
FAR CAMPAILLETTE GRD SIECLE 25KG,far campaillette grd siecle 25kg,25,26,6011,False,fr_bd_880517875
AGNEAU FRESSURE ORIGINE :FRANCE TRACE : 0000001 N° ABT : FR,agneau fressure origine france trace 0000001 n abt fr,25,25,6011,False,fr_bd_519665103
CREPINE AGNEAU,crepine agneau,25,25,6011,False,fr_bd_519665103
CUISSE DE POULET HALAL,cuisse de poulet halal,25,25,6011,False,fr_bd_519665103
FRAISE 1K PLT C1 ESESPAGNE,fraise 1k plt c1 esespagne,25,25,601,False,fr_bd_880517875 | fr_bd_890233000
FROM TARTINER NATURE 1KG MC,from tartiner nature 1kg mc,25,25,601,False,fr_bd_880517875 | fr_bd_890233000
GRAINES DE MAIS DECOR Sac 500gr,graines de mais decor sac 500gr,25,25,6011,False,fr_bd_890233000 | fr_bd_915197842
LAIT UHT 1/2ECR 1L PPX BK,lait uht 1 2ecr 1l ppx bk,25,25,601,False,fr_bd_890233000 | fr_bd_915197842
LP VAL DE MARNE,lp val de marne,25,25,6068,False,fr_bd_880517875
MARGARINE GOURMANDINE CROIS/FEUILL 5X2KG,margarine gourmandine crois feuill 5x2kg,25,25,6011,False,fr_bd_880517875 | fr_bd_890233000
MINI CROISSANT 25G P/200 DELIFR 74953,mini croissant 25g p 200 delifr 74953,25,25,6011,False,fr_bd_880517875
SAC PLAST BIO JAUNE 120X50X350 P/200,sac plast bio jaune 120x50x350 p 200,25,25,6063,False,fr_bd_880517875
SPECULOS BRISURE MOULU 750 gr 64695,speculos brisure moulu 750 gr 64695,25,25,601,False,fr_bd_880517875
SUCRE CALIBRE TRES FIN,sucre calibre tres fin,25,25,601,False,fr_bd_890233000
VEAU FOIE ORIGINE :PAYS-BAS TRACE : 0000001 N° ABT : NL,veau foie origine pays bas trace 0000001 n abt nl,25,25,6011,False,fr_bd_519665103
VEAU PIED ORIGINE :FRANCE,veau pied origine france,24,25,6011,False,fr_bd_519665103
BEIGNET LONG MASCOT NATURE 90G/30 502558,beignet long mascot nature 90g 30 502558,24,24,601,False,fr_bd_880517875
BOITE Forte 50 capsules,boite forte 50 capsules,24,24,6068,False,fr_bd_890233000
CRISTAL SAC 20KG ARO,cristal sac 20kg aro,24,24,6011,False,fr_bd_890233000
LOT DE 100 SACS DE REGROUPEMENT,lot de 100 sacs de regroupement,24,24,60225,False,fr_bd_890233000
MPRO BOBINE 2P 450F X6,mpro bobine 2p 450f x6,24,24,6063,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
PERRIER BOITE SLIM 33CL,perrier boite slim 33cl,24,24,6068,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
SAUMON FUME TRANCHE S/PEAU,saumon fume tranche s peau,24,24,601,False,fr_bd_890233000
ACTIMEL.NATURE.SUCRE,actimel nature sucre,23,32,601,False,fr_bd_880517875
"CREME FRAICHE 15% 500G,DELISSE",creme fraiche 15 500g delisse,23,26,601,False,fr_bd_890233000
AGNEAU TESTICULES - ORIGINE :FRANCE,agneau testicules origine france,23,23,6011,False,fr_bd_519665103
CREME 35% (PATISSIERE) UHT 1L,creme 35 patissiere uht 1l,23,23,6011,False,fr_bd_890233000
EMMENTAL TRANCHE 15x5 1 KG,emmental tranche 15x5 1 kg,23,23,601,False,fr_bd_880517875
GRAINE FLOCON AVOINE SAC 1KG,graine flocon avoine sac 1kg,23,23,6011,False,fr_bd_880517875 | fr_bd_890233000
JAMBON CUIT SUP DD VPF BQ 16X45G,jambon cuit sup dd vpf bq 16x45g,23,23,6011,False,fr_bd_880517875 | fr_bd_890233000
LEVURE SPRINGER CT 20X500G,levure springer ct 20x500g,23,23,6011,False,fr_bd_890233000
MARG BOMAR FEUILLETAGE PLAQUE 5X2KG,marg bomar feuilletage plaque 5x2kg,23,23,601,False,fr_bd_880517875
MINI PAIN CHOC ARTISAN FAI CRU 200X28G,mini pain choc artisan fai cru 200x28g,23,23,601,False,fr_bd_880517875 | fr_bd_890233000
NOIX INVALIDES 1KG ARLEQUIN,noix invalides 1kg arlequin,23,23,6061,False,fr_bd_880517875
ORIGINALE T65,originale t65,23,23,6011,False,fr_bd_890233000
PUREE MANGUE 100% FRUIT MC,puree mangue 100 fruit mc,23,23,601,False,fr_bd_890233000
"S/KRAFT BRUN AMBIANT 80G,1P",s kraft brun ambiant 80g 1p,23,23,601,False,fr_bd_890233000
VANILLE AROME ARTIFICIEL PET 1L,vanille arome artificiel pet 1l,23,23,6061,False,fr_bd_880517875
"LIQ.VAISS.MAIN PX SENS,A,750ML",liq vaiss main px sens a 750ml,22,29,6068,False,fr_bd_890233000
BOUQUET DE MACHE,bouquet de mache,22,27,601,False,fr_bd_890233000
FRAMBOISE PANIER DU PRIMEUR BAR,framboise panier du primeur bar,22,25,601,False,fr_bd_890233000
COMCOMBRE GROS,comcombre gros,22,23,601,False,fr_bd_880517875
AGNEAU FRESSURE,agneau fressure,22,22,6011,False,fr_bd_519665103
BOITE Ristretto 50 capsules,boite ristretto 50 capsules,22,22,6068,False,fr_bd_890233000
CHEVRE BUCHE KG 50% MG,chevre buche kg 50 mg,22,22,601,False,fr_bd_890233000
Commission sur vente LP DIM,commission sur vente lp dim,22,22,6068,False,fr_bd_880517875
Commission sur vente LeParisien,commission sur vente leparisien,22,22,6068,False,fr_bd_880517875
FONDANT SEAU EN 15 KG,fondant seau en 15 kg,22,22,6061,False,fr_bd_880517875
FRAMBOISE 125G ESPAGNE C1ESPAGNE,framboise 125g espagne c1espagne,22,22,601,False,fr_bd_880517875 | fr_bd_890233000
MC POUDRE D'AMANDE BLANCHE 5KG,mc poudre d amande blanche 5kg,22,22,601,False,fr_bd_890233000
MELANGE 5 GRAINES 10KG,melange 5 graines 10kg,22,22,6061,False,fr_bd_880517875
MINI BEIGNET CACAO/NOISETTE 21G *,mini beignet cacao noisette 21g,22,22,601,False,fr_bd_880517875
NAPPAGE BLOND PRO SEAU 14 KG,nappage blond pro seau 14 kg,22,22,601,False,fr_bd_880517875
OLIVES VERTE RONDELLE 3/1,olives verte rondelle 3 1,22,22,601,False,fr_bd_880517875
POULET FILET HALAL CRU 190G SURG 5KG,poulet filet halal cru 190g surg 5kg,22,22,601,False,fr_bd_880517875 | fr_bd_890233000
SAC PLAST BIO BEIGE 230X40X400 P/200,sac plast bio beige 230x40x400 p 200,22,22,6063,False,fr_bd_880517875
SAN PELL BOITE SLIM 33CL,san pell boite slim 33cl,22,22,6068,False,fr_bd_890233000 | fr_bd_915197842
SAUMON FUME ATLANTIQU TRANCHE BANDE 800G,saumon fume atlantiqu tranche bande 800g,22,22,6011,False,fr_bd_880517875 | fr_bd_890233000
CUISSEAU DE VEAU,cuisseau de veau,21,28,6011,False,fr_bd_519665103
SELLE AGNEAU,selle agneau,21,26,6011,False,fr_bd_519665103
"POINTE BRIE,LES CROISES,200G",pointe brie les croises 200g,21,25,601,False,fr_bd_890233000
AGNEAU TETE KG,agneau tete kg,21,22,607000,False,fr_bd_519665103
AGNEAU FRESSURE KG,agneau fressure kg,21,21,607000,False,fr_bd_519665103
BOMBE GRAISSE UNL 600ML PIECE,bombe graisse unl 600ml piece,21,21,6011,False,fr_bd_880517875
CAMPAILLETTE POINTE PAYSANNE 25KG,campaillette pointe paysanne 25kg,21,21,6011,False,fr_bd_880517875
FRAISE PLT 1KG ESP C1 ESPAGNE,fraise plt 1kg esp c1 espagne,21,21,601,False,fr_bd_890233000
"FROMAGE BLC 2,8% 5KG MC",fromage blc 2 8 5kg mc,21,21,6011,False,fr_bd_890233000
Farine Sérénité Label Rouge T65,farine serenite label rouge t65,21,21,6011,False,fr_bd_890233000
GÉSIER DE POULET HALAL,gesier de poulet halal,21,21,6011,False,fr_bd_519665103
MINI BEIGNET CHOCO BLANC 21G *,mini beignet choco blanc 21g,21,21,601,False,fr_bd_880517875
MINI PAIN RAIS FAI CRU ARTISAN 200X30G,mini pain rais fai cru artisan 200x30g,21,21,6011,False,fr_bd_890233000
MINUTE MAID MULTIFR SLIM 33CL,minute maid multifr slim 33cl,21,21,6068,False,fr_bd_880517875 | fr_bd_890233000
MURE BQ 125G PORTUGAL C1PORTUGAL,mure bq 125g portugal c1portugal,21,21,6011,False,fr_bd_880517875 | fr_bd_890233000
NOISETTE GRISE POUDRE BRUT 1KG,noisette grise poudre brut 1kg,21,21,6011,False,fr_bd_880517875
OEUF COQUILLE TEINTE MOYEN 53/63 CT 360,oeuf coquille teinte moyen 53 63 ct 360,21,21,6061,False,fr_bd_880517875 | fr_bd_890233000
PHYSALIS 100G BQ12 C1 COCOLOMBIE,physalis 100g bq12 c1 cocolombie,21,21,6011,False,fr_bd_880517875 | fr_bd_890233000
SPECIAL COMPLET 25KG,special complet 25kg,21,21,6011,False,fr_bd_880517875
"PARMIGIANO REGGIANO ,60G",parmigiano reggiano 60g,20,32,601,False,fr_bd_890233000
PLAT BLANC BLEU BELGE VIANDE HALLAL,plat blanc bleu belge viande hallal,20,26,6011,False,fr_bd_519665103
FARINE GRUAU DELICE TYPE 65 SAC 25 KG,farine gruau delice type 65 sac 25 kg,20,21,6011,False,fr_bd_890233000
TOMATE CERISE ROUGE ECO+,tomate cerise rouge eco,20,21,6011,False,fr_bd_890233000
AGNEAU PANSE VERTE SALEE ORIGINE :FRANCE,agneau panse verte salee origine france,20,20,6011,False,fr_bd_519665103
BEURRE CUBE 25 KG FRIESLAND CAMPINA,beurre cube 25 kg friesland campina,20,20,601,False,fr_bd_880517875
CHOC LAIT 33% DGF 10KG,choc lait 33 dgf 10kg,20,20,601,False,fr_bd_880517875 | fr_bd_890233000
CRISTALINE 50 CL X 24,cristaline 50 cl x 24,20,20,601,False,fr_bd_880517875
DONUT DE FILET DE POULET,donut de filet de poulet,20,20,6011,False,fr_bd_519665103
FANTA ORANGE BTE SLIM 33CL,fanta orange bte slim 33cl,20,20,6068,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
LAIT 1/2 ECREME FRANCAIS X6 UHT,lait 1 2 ecreme francais x6 uht,20,20,6061,False,fr_bd_880517875
MINUTE MAID POMME SLIM 33CL,minute maid pomme slim 33cl,20,20,6068,False,fr_bd_880517875 | fr_bd_890233000
OEUF BLANC LIQUIDE 1L SERVIS OEUF,oeuf blanc liquide 1l servis oeuf,20,20,601100,False,fr_bd_880517875
PANÉ DE VOLAILLE HALAL UE MILANESE,pane de volaille halal ue milanese,20,20,6011,False,fr_bd_519665103
PATE DE PISTACH 1KG CRESCO,pate de pistach 1kg cresco,20,20,6011,False,fr_bd_880517875 | fr_bd_890233000
PHYSALIS BQ 100g COLOMBIE,physalis bq 100g colombie,20,20,6011,False,fr_bd_880517875 | fr_bd_890233000
