article_source,normalized_label,invoice_count,line_occurrences,sample_account,already_in_base,partitions
x7 Chicken Dips,x7 chicken dips,6,8,606100,False,fr_bd_839181104
ADblue,adblue,6,6,60620000,False,fr_bd_839181104 | fr_bd_888020088
Effectuer un essai sur route,effectuer un essai sur route,6,6,606200,False,fr_bd_839181104
Effectuer un test rapide,effectuer un test rapide,6,6,6062,False,fr_bd_839181104
Forfait Sensation 150Go 5G Avantages Smartphone,forfait sensation 150go 5g avantages smartphone,6,6,6061,False,fr_bd_839181104
Marlboro 100rge.rd20,marlboro 100rge rd20,6,6,606300,False,fr_bd_839181104
Option multi-SIM Internet,option multi sim internet,6,6,6062,False,fr_bd_831060876
PAIN AU CHOCOLAT,pain au chocolat,6,6,606100,False,fr_bd_839181104 | fr_bd_888020088
Pack de 100.00 € de crédit lavage a valoir sur les stations partenaires,pack de 100 00 de credit lavage a valoir sur les stations partenaires,6,6,6068,False,fr_bd_839181104
SMS/MMS vers l'international,sms mms vers l international,6,6,6062,False,fr_bd_831060876 | fr_bd_839181104
Tarte Citron,tarte citron,6,6,606100,False,fr_bd_839181104
Avantage Internet 80Go,avantage internet 80go,5,5,6061,False,fr_bd_839181104
BANANE,banane,5,5,606100,False,fr_bd_839181104 | fr_bd_888020088
Bbox - location équipement (du 02/07 au 01/08),bbox location equipement du 02 07 au 01 08,5,5,6062,False,fr_bd_831060876 | fr_bd_839181104
Bbox - location équipement (du 02/09 au 01/10),bbox location equipement du 02 09 au 01 10,5,5,6062,False,fr_bd_831060876 | fr_bd_839181104
DIESEL B10,diesel b10,5,5,6063,False,fr_bd_839181104
FR COCA COLA 24X33CL,fr coca cola 24x33cl,5,5,6068,False,fr_bd_839181104
OASIS TROPICAL 24X33CL,oasis tropical 24x33cl,5,5,6068,False,fr_bd_839181104
Pack sécurité Norton,pack securite norton,5,5,6062,False,fr_bd_831060876
MENU,menu,4,8,606100,False,fr_bd_839181104
Sce Mayonnaise,sce mayonnaise,4,5,6068,False,fr_bd_839181104
Achat carte bancaire,achat carte bancaire,4,4,606100,False,fr_bd_839181104 | fr_bd_888020088
Bbox - location équipement (du 02/05 au 01/06),bbox location equipement du 02 05 au 01 06,4,4,6062,False,fr_bd_831060876 | fr_bd_839181104
Bbox - location équipement (du 02/12 au 01/01),bbox location equipement du 02 12 au 01 01,4,4,6061,False,fr_bd_831060876 | fr_bd_839181104
CLEMENTINE,clementine,4,4,6068,False,fr_bd_888020088
Coriande/Persil/Ment,coriande persil ment,4,4,6068,False,fr_bd_888020088
Cup Barbecue,cup barbecue,4,4,606100,False,fr_bd_839181104
DS FORFAIT DOSE LG (PDP+PD),ds forfait dose lg pdp pd,4,4,606200,False,fr_bd_839181104
Filet,filet,4,4,606100,False,fr_bd_839181104
Ingrédients Peinture,ingredients peinture,4,4,60620000,False,fr_bd_839181104
Ketchup,ketchup,4,4,606100,False,fr_bd_839181104 | fr_bd_888020088
Multi-TV FTTH (du 02/07 au 01/08),multi tv ftth du 02 07 au 01 08,4,4,6062,False,fr_bd_839181104
Multi-TV FTTH (du 02/09 au 01/10),multi tv ftth du 02 09 au 01 10,4,4,6062,False,fr_bd_839181104
NEMS POULET 4PCS,nems poulet 4pcs,4,4,606,False,fr_bd_839181104
ORANGE VRAC,orange vrac,4,4,60610000,False,fr_bd_888020088
Option Week-end internet illimité,option week end internet illimite,4,4,6062,False,fr_bd_831060876
PITCH BRIOCHE CHOC,pitch brioche choc,4,4,606100,False,fr_bd_839181104
POMMES KG,pommes kg,4,4,60610000,False,fr_bd_888020088
Paiement carte bancaire,paiement carte bancaire,4,4,606100,False,fr_bd_839181104
Palais Royal,palais royal,4,4,606100,False,fr_bd_839181104
SACS CAISSE CRF,sacs caisse crf,4,4,60680000,False,fr_bd_839181104
SP98 EXCELLIUM,sp98 excellium,4,4,6063,False,fr_bd_839181104
Saumon fumé ASC,saumon fume asc,4,4,60610000,False,fr_bd_888020088
TS CART. FILTRE A HUILE,ts cart filtre a huile,4,4,606200,False,fr_bd_839181104
VIENNOISERIE,viennoiserie,4,4,6068,False,fr_bd_839181104
VIS DE FERMETURE,vis de fermeture,4,4,606200,False,fr_bd_839181104
Vos communications (du 02/12 au 01/01),vos communications du 02 12 au 01 01,4,4,6061,False,fr_bd_839181104
FRITE,frite,3,6,60610000,False,fr_bd_839181104
GARNITURE FREIN A DISQUE,garniture frein a disque,3,6,606200,False,fr_bd_839181104
B-ALGERIENNE,b algerienne,3,4,606100,False,fr_bd_839181104
CAPTEUR D'USURE,capteur d usure,3,4,6061,False,fr_bd_839181104
Junior Giant,junior giant,3,4,606100,False,fr_bd_839181104
NOUILLES POULET,nouilles poulet,3,4,606,False,fr_bd_839181104
PASTEQUE,pasteque,3,4,6068,False,fr_bd_839181104 | fr_bd_888020088
SPICY,spicy,3,4,606,False,fr_bd_839181104
175G TRCHE DE CAKE,175g trche de cake,3,3,606100,False,fr_bd_839181104
225G GOUTER DOR.CH,225g gouter dor ch,3,3,606100,False,fr_bd_839181104
Appels a tarification majorée (Numéros spéciaux),appels a tarification majoree numeros speciaux,3,3,6062,False,fr_bd_831060876 | fr_bd_839181104
Appels tarification majorée - Numéros spéciaux,appels tarification majoree numeros speciaux,3,3,6061,False,fr_bd_831060876 | fr_bd_839181104
Applications - contenus - services,applications contenus services,3,3,6062,False,fr_bd_831060876
Avantage Internet 100Go,avantage internet 100go,3,3,6062,False,fr_bd_831060876
BAGUETTE,baguette,3,3,606100,False,fr_bd_839181104
BARRE DE SON SAMSUNG HW-Q850D BARRE DE SON Q810D + ENCEINTES SWA-9500S,barre de son samsung hw q850d barre de son q810d enceintes swa 9500s,3,3,6063,False,fr_bd_839181104
Bbox - location équipement (du 02/02 au 01/03),bbox location equipement du 02 02 au 01 03,3,3,6061,False,fr_bd_831060876 | fr_bd_839181104
Bbox - location équipement (du 02/10 au 01/11),bbox location equipement du 02 10 au 01 11,3,3,6061,False,fr_bd_831060876 | fr_bd_839181104
Bbox - location équipement (du 02/11 au 01/12),bbox location equipement du 02 11 au 01 12,3,3,6062,False,fr_bd_831060876 | fr_bd_839181104
Bbox fibre jusqu'a1 Gb/s (du 02/05 au 01/06),bbox fibre jusqu a1 gb s du 02 05 au 01 06,3,3,6062,False,fr_bd_839181104
Bbox fibre jusqu'a1 Gb/s (du 02/07 au 01/08),bbox fibre jusqu a1 gb s du 02 07 au 01 08,3,3,6061,False,fr_bd_839181104
Bbox fibre jusqu'a1 Gb/s (du 02/12 au 01/01),bbox fibre jusqu a1 gb s du 02 12 au 01 01,3,3,6061,False,fr_bd_839181104
CABLE VIDEO MONSTER CABLE CABLE HDMI M2000 UHD 4K HDR10+ 25GBPS 1.5M,cable video monster cable cable hdmi m2000 uhd 4k hdr10 25gbps 1 5m,3,3,6063,False,fr_bd_839181104
COURGETTE BLANCHE,courgette blanche,3,3,6068,False,fr_bd_888020088
Coca,coca,3,3,606,False,fr_bd_839181104
Coke Max Best Of,coke max best of,3,3,606100,False,fr_bd_839181104
DOUBLE CHEESE,double cheese,3,3,606100,False,fr_bd_839181104
Evolution d'offre - Appels illimités mobiles France_ (du 02/07 au 01/08),evolution d offre appels illimites mobiles france du 02 07 au 01 08,3,3,6061,False,fr_bd_839181104
Forfait Sensation client 70Go,forfait sensation client 70go,3,3,6062,False,fr_bd_831060876
GAZOLE Carburant,gazole carburant,3,3,6063,False,fr_bd_839181104
GO 05 pompe,go 05 pompe,3,3,6063,False,fr_bd_888020088
Internet 10Go France,internet 10go france,3,3,6062,False,fr_bd_831060876
"KINDER COUNTRY,T15.352G",kinder country t15 352g,3,3,606100,False,fr_bd_839181104
KIT DE PROTECTION,kit de protection,3,3,606200,False,fr_bd_839181104
LIPT PECHE SLK CAN,lipt peche slk can,3,3,606100,False,fr_bd_839181104
MASSCOTTE POMME,masscotte pomme,3,3,60610000,False,fr_bd_839181104
Mega Giant,mega giant,3,3,6068,False,fr_bd_839181104
Mensualité de votre facilité de paiement pour votre équipement,mensualite de votre facilite de paiement pour votre equipement,3,3,606300,False,fr_bd_831060876 | fr_bd_839181104
Multi-TV FTTH (du 02/05 au 01/06),multi tv ftth du 02 05 au 01 06,3,3,6062,False,fr_bd_839181104
Multi-TV FTTH (du 02/12 au 01/01),multi tv ftth du 02 12 au 01 01,3,3,6061,False,fr_bd_839181104
NETTOYAGE VIDEO MONSTER CABLE NETTOYANT ECRAN SCREENCLEAN 4.0 200 ML,nettoyage video monster cable nettoyant ecran screenclean 4 0 200 ml,3,3,6063,False,fr_bd_839181104
OASIS TROPICAL,oasis tropical,3,3,606100,False,fr_bd_839181104
PAIN TRADITION,pain tradition,3,3,60610000,False,fr_bd_888020088
PATE SAMIA PIOMBI 12,pate samia piombi 12,3,3,60610000,False,fr_bd_888020088
PECHE NECTARINE KG,peche nectarine kg,3,3,60610000,False,fr_bd_888020088
POMME GALA ET GOLDEN,pomme gala et golden,3,3,6068,False,fr_bd_888020088
Paiement carte,paiement carte,3,3,606100,False,fr_bd_839181104
Remise Commerciale,remise commerciale,3,3,609,False,fr_bd_831060876
SAC KRAFT BRUN,sac kraft brun,3,3,6068,False,fr_bd_839181104
"Services de télécommunications (forfait, communications, autres services)",services de telecommunications forfait communications autres services,3,3,6062,False,fr_bd_839181104
Supreme+ Go (Carburant),supreme go carburant,3,3,6063,False,fr_bd_888020088
TRANCETTO CACAO,trancetto cacao,3,3,606100,False,fr_bd_839181104
TV OLED PHILIPS 65OLED849 AMBILIGHT TV PIED CENTRAL PIVOTANT 144HZ 4K 164CM 2024,tv oled philips 65oled849 ambilight tv pied central pivotant 144hz 4k 164cm 2024,3,3,6063,False,fr_bd_839181104
Transaction carte bancaire,transaction carte bancaire,3,3,606100,False,fr_bd_839181104
Type de pate Spaghetti,type de pate spaghetti,3,3,6068,False,fr_bd_839181104
VIS 6 PANS AVEC BRIDE,vis 6 pans avec bride,3,3,606200,False,fr_bd_839181104
VIS A TETE HEXAGONALE,vis a tete hexagonale,3,3,606200,False,fr_bd_839181104
Vos communications (du 02/07 au 01/08),vos communications du 02 07 au 01 08,3,3,6061,False,fr_bd_839181104
Vos communications (du 02/09 au 01/10),vos communications du 02 09 au 01 10,3,3,6062,False,fr_bd_839181104
YAKITORI SAUMON,yakitori saumon,3,3,606,False,fr_bd_839181104
pompe,pompe,3,3,60610000,False,fr_bd_839181104
COCA COLA CHERRY,coca cola cherry,2,4,60610000,False,fr_bd_839181104
GRAISSE NOIRE CARDAN,graisse noire cardan,2,4,606200,False,fr_bd_839181104
SYSTEME REGULATION D'AIR,systeme regulation d air,2,4,60620000,False,fr_bd_839181104
TRAVERSE,traverse,2,4,60620000,False,fr_bd_839181104
CADRE DE CALANDRE,cadre de calandre,2,3,60620000,False,fr_bd_839181104
Cup Giant,cup giant,2,3,6068,False,fr_bd_839181104
MELON CHARENTAIS,melon charentais,2,3,6068,False,fr_bd_839181104 | fr_bd_888020088
RIVET,rivet,2,3,60620000,False,fr_bd_839181104
SAINT THIBAUD,saint thibaud,2,3,6068,False,fr_bd_839181104
SUPPORT,support,2,3,60620000,False,fr_bd_839181104
120186/CONSOLE TRAVERSE,120186 console traverse,2,2,60620000,False,fr_bd_839181104
121 Ko 338 de Internet a l'étranger hors Europe DOM,121 ko 338 de internet a l etranger hors europe dom,2,2,6062,False,fr_bd_839181104
1Fruits Barguette/Pi,1fruits barguette pi,2,2,606200,False,fr_bd_888020088
2 x Tarte Citron,2 x tarte citron,2,2,606100,False,fr_bd_839181104
25CL LATTE MACCHIA,25cl latte macchia,2,2,60610000,False,fr_bd_839181104
2X YA NOIX COCO,2x ya noix coco,2,2,606100,False,fr_bd_839181104
320G CARAMBAR FRUI,320g carambar frui,2,2,606100,False,fr_bd_839181104
320G SS ADDIT 8DO,320g ss addit 8do,2,2,60610000,False,fr_bd_839181104
350G MIX MAXMAX,350g mix maxmax,2,2,606100,False,fr_bd_839181104
3X1/4 MAIS SS AJOU,3x1 4 mais ss ajou,2,2,60610000,False,fr_bd_839181104
3X260G CHOCO PAUSE,3x260g choco pause,2,2,606100,False,fr_bd_839181104
400G SCE PROVENCAL,400g sce provencal,2,2,60610000,False,fr_bd_839181104
5 JETONS,5 jetons,2,2,606800,False,fr_bd_839181104
500G POMMES DAUPHI,500g pommes dauphi,2,2,606100,False,fr_bd_839181104
50cl Coca Cherry,50cl coca cherry,2,2,606100,False,fr_bd_839181104
525G PAIN AU LAIT,525g pain au lait,2,2,606100,False,fr_bd_839181104
6*SACS CAISSE CRF,6 sacs caisse crf,2,2,6068,False,fr_bd_839181104
"6X1,5L EAU MONT BL",6x1 5l eau mont bl,2,2,606800,False,fr_bd_888020088
AILE AVANT,aile avant,2,2,60620000,False,fr_bd_839181104
ALLUMETTES POULET,allumettes poulet,2,2,60610000,False,fr_bd_839181104
AMORTISSEUR DE CHOC,amortisseur de choc,2,2,60620000,False,fr_bd_839181104
ANANAS PIECE,ananas piece,2,2,6068,False,fr_bd_888020088
Achat non spécifié,achat non specifie,2,2,60680000,False,fr_bd_888020088
Achat restauration,achat restauration,2,2,606100,False,fr_bd_839181104
Avantage Internet 60Go 3 euros + majelan inclus,avantage internet 60go 3 euros majelan inclus,2,2,6061,False,fr_bd_839181104
Avec piment,avec piment,2,2,6068,False,fr_bd_839181104
B-CROQ,b croq,2,2,60610000,False,fr_bd_839181104
B-DWOOP,b dwoop,2,2,60610000,False,fr_bd_839181104
B-TRIPLE CHEESY,b triple cheesy,2,2,606100,False,fr_bd_839181104
BESTOLIE HUILE TOURN,bestolie huile tourn,2,2,6068,False,fr_bd_888020088
BIENS_SERVICE,biens service,2,2,60610000,False,fr_bd_839181104
BOUCHON,bouchon,2,2,60620000,False,fr_bd_839181104
BRIOCHE,brioche,2,2,6068,False,fr_bd_888020088
BRISURE RIZ C1 RDM 1KG,brisure riz c1 rdm 1kg,2,2,606100,False,fr_bd_888020088
BSacs,bsacs,2,2,60610000,False,fr_bd_888020088
BTE 20X33CL COCA-C,bte 20x33cl coca c,2,2,606100,False,fr_bd_839181104
Bbox - location équipement,bbox location equipement,2,2,6061,False,fr_bd_839181104
Bbox - location équipement (du 02/01 au 01/02),bbox location equipement du 02 01 au 01 02,2,2,6062,False,fr_bd_831060876 | fr_bd_839181104
Bbox - location équipement (du 02/03 au 01/04),bbox location equipement du 02 03 au 01 04,2,2,6061,False,fr_bd_831060876 | fr_bd_839181104
Bbox - location équipement (du 02/04 au 01/05),bbox location equipement du 02 04 au 01 05,2,2,6061,False,fr_bd_831060876 | fr_bd_839181104
Bbox - location équipement (du 02/06 au 01/07),bbox location equipement du 02 06 au 01 07,2,2,6061,False,fr_bd_831060876 | fr_bd_839181104
Bbox - location équipement (du 02/08 au 01/09),bbox location equipement du 02 08 au 01 09,2,2,6064,False,fr_bd_839181104
Bbox fibre jusqu'a 1 Gb/s,bbox fibre jusqu a 1 gb s,2,2,6061,False,fr_bd_839181104
Bbox fibre jusqu'a 1 Gb/s (du 02/09 au 01/10),bbox fibre jusqu a 1 gb s du 02 09 au 01 10,2,2,6064,False,fr_bd_839181104
Bbox fibre jusqu'a1 Gb/s (du 02/08 au 01/09),bbox fibre jusqu a1 gb s du 02 08 au 01 09,2,2,6064,False,fr_bd_839181104
Bbox fibre jusqu'a1 Gb/s (du 02/09 au 01/10),bbox fibre jusqu a1 gb s du 02 09 au 01 10,2,2,6062,False,fr_bd_839181104
Bbox fibre jusqu'a1 Gb/s (du 02/10 au 01/11),bbox fibre jusqu a1 gb s du 02 10 au 01 11,2,2,6061,False,fr_bd_839181104
Bouclier avant complet remplacer,bouclier avant complet remplacer,2,2,60620000,False,fr_bd_839181104
CABAS MONDIAL. PRIMEU,cabas mondial primeu,2,2,6068,False,fr_bd_839181104
CAPTEUR RADAR,capteur radar,2,2,60620000,False,fr_bd_839181104
CARTER D'HUILE,carter d huile,2,2,606200,False,fr_bd_839181104
CHILI CHEESE X9,chili cheese x9,2,2,60610000,False,fr_bd_839181104
CHOUQUETTES X 20,chouquettes x 20,2,2,606,False,fr_bd_839181104
CHOUX BRUXELLES,choux bruxelles,2,2,6068,False,fr_bd_888020088
CITRON FILET,citron filet,2,2,60610000,False,fr_bd_888020088
"CREME FRAICHE.EPAISSE 30%,450G",creme fraiche epaisse 30 450g,2,2,606100,False,fr_bd_839181104
CRISTALINE 24x50CL,cristaline 24x50cl,2,2,60610000,False,fr_bd_888020088
CRISTALINE EAU DE SOURCE 24X50CL,cristaline eau de source 24x50cl,2,2,6068,False,fr_bd_839181104
CRUNCHY CAKE MIEL X6,crunchy cake miel x6,2,2,6068,False,fr_bd_839181104
Cafe,cafe,2,2,6068,False,fr_bd_839181104
Carburant GO (Gazole),carburant go gazole,2,2,60630000,False,fr_bd_888020088
Carburant GO - Pompe 06,carburant go pompe 06,2,2,6063,False,fr_bd_839181104 | fr_bd_888020088
Carotte Vrac,carotte vrac,2,2,6068,False,fr_bd_888020088
Chicken Alfredo,chicken alfredo,2,2,606100,False,fr_bd_839181104
Chicken Alfredo Spaghetti Avec piment Extra pain ciabatta gra,chicken alfredo spaghetti avec piment extra pain ciabatta gra,2,2,6011,False,fr_bd_839181104
Cloison sous aile avant gauche remplacer,cloison sous aile avant gauche remplacer,2,2,60620000,False,fr_bd_839181104
Coca Cola,coca cola,2,2,6068,False,fr_bd_839181104
Coiffeur,coiffeur,2,2,606100,False,fr_bd_839181104
Concombre Mini Vrac,concombre mini vrac,2,2,606100,False,fr_bd_888020088
Confisserie,confisserie,2,2,6068,False,fr_bd_888020088
DISQUE DE FREIN COMPOSITE,disque de frein composite,2,2,606200,False,fr_bd_839181104
DISQUE DE FREIN VENTILE,disque de frein ventile,2,2,606200,False,fr_bd_839181104
DIVERS VENTE,divers vente,2,2,606100,False,fr_bd_839181104
"Deposer, poser completement le pare-chocs avant",deposer poser completement le pare chocs avant,2,2,60620000,False,fr_bd_839181104
Direction assistee remplacer,direction assistee remplacer,2,2,60620000,False,fr_bd_839181104
"Démonter, monter 2 roues complètes",demonter monter 2 roues completes,2,2,606200,False,fr_bd_839181104
"Déposer, poser, remplacer selon constat 4 garnitures de frein de l'essieu arrière (Roues complètes démontées)",deposer poser remplacer selon constat 4 garnitures de frein de l essieu arriere roues completes demontees,2,2,6062,False,fr_bd_839181104
ELECTRO DEPOT GAINE EVACUATION 102 MM,electro depot gaine evacuation 102 mm,2,2,606200,False,fr_bd_839181104
EPICERIE,epicerie,2,2,606100,False,fr_bd_839181104 | fr_bd_888020088
EXPRESSO,expresso,2,2,6068,False,fr_bd_839181104
Effectuer la dépose de roue pour la roue complete geometrie du train de roulement,effectuer la depose de roue pour la roue complete geometrie du train de roulement,2,2,60620000,False,fr_bd_839181104
Escargot aux raisins,escargot aux raisins,2,2,60610000,False,fr_bd_888020088
Evolution d'offre - Appels illimités mobiles France (du 02/09 au 01/10),evolution d offre appels illimites mobiles france du 02 09 au 01 10,2,2,6064,False,fr_bd_839181104
FANTA ORANGE,fanta orange,2,2,606100,False,fr_bd_839181104
FERRERO ROCHER 200 G,ferrero rocher 200 g,2,2,6068,False,fr_bd_888020088
FEUILLE DE SALAD,feuille de salad,2,2,606,False,fr_bd_839181104
FID-1 Chicken Di,fid 1 chicken di,2,2,606100,False,fr_bd_839181104
FILTRE A HUILE,filtre a huile,2,2,606200,False,fr_bd_839181104
FRAISE,fraise,2,2,6068,False,fr_bd_888020088
FRITES,frites,2,2,606100,False,fr_bd_839181104
Forfait 200 Go 5G Avantages Smartphone,forfait 200 go 5g avantages smartphone,2,2,6061,False,fr_bd_831060876
Forfait 250Go 5G avantages smartphone,forfait 250go 5g avantages smartphone,2,2,6062,False,fr_bd_831060876
Forfait 2h 100Mo 5G Av. Smartphone,forfait 2h 100mo 5g av smartphone,2,2,6062,False,fr_bd_831060876
Forfait Spécial client 20Go 5G Av. smartphone,forfait special client 20go 5g av smartphone,2,2,6062,False,fr_bd_831060876
GACHE,gache,2,2,60620000,False,fr_bd_839181104
GO (Gazole),go gazole,2,2,6063,False,fr_bd_839181104
GODETS MIEL PERRUCHES BOI,godets miel perruches boi,2,2,6068,False,fr_bd_839181104
GRAISSE TOIT ET SIEGE(PDP),graisse toit et siege pdp,2,2,606200,False,fr_bd_839181104
GRILLE DE PROTECTION,grille de protection,2,2,60620000,False,fr_bd_839181104
Grande Frite,grande frite,2,2,6068,False,fr_bd_839181104
HUILE BVA 725 1L (PDP),huile bva 725 1l pdp,2,2,606200,False,fr_bd_839181104
Internet 30Go client + 5G,internet 30go client 5g,2,2,606,False,fr_bd_839181104
Internet a l'étranger hors Europe DOM,internet a l etranger hors europe dom,2,2,6062,False,fr_bd_839181104
Internet depuis la France métropolitaine (dépassement),internet depuis la france metropolitaine depassement,2,2,6062,False,fr_bd_839181104
KINDER CHOCO MAXI 210GR,kinder choco maxi 210gr,2,2,606100,False,fr_bd_839181104
KINDER PINGU.CHOCO,kinder pingu choco,2,2,606100,False,fr_bd_839181104
LATTE MACCHIATO,latte macchiato,2,2,6068,False,fr_bd_839181104
LUBRIFIANT TOIT OUVRANT(PDP),lubrifiant toit ouvrant pdp,2,2,606200,False,fr_bd_839181104
Lavage,lavage,2,2,6068,False,fr_bd_839181104
Lavage MP3,lavage mp3,2,2,606200,False,fr_bd_839181104
Lingettes optiques,lingettes optiques,2,2,60630000,False,fr_bd_888020088
M Magic Box,m magic box,2,2,6068,False,fr_bd_839181104
MATLOUH NAT BAKERY 4X110G,matlouh nat bakery 4x110g,2,2,606100,False,fr_bd_888020088
MENTHE SECHE NANA,menthe seche nana,2,2,606100,False,fr_bd_888020088
MENU ENFANT,menu enfant,2,2,606100,False,fr_bd_839181104
MENU L2,menu l2,2,2,60610000,False,fr_bd_839181104
MINI BEIGNET CHOCO,mini beignet choco,2,2,606100,False,fr_bd_839181104
McFish HM,mcfish hm,2,2,606100,False,fr_bd_839181104
Microfi Lustrage Chlt,microfi lustrage chlt,2,2,606200,False,fr_bd_839181104
Multi-TV FTTH,multi tv ftth,2,2,6061,False,fr_bd_839181104
Multi-TV FTTH (du 02/01 au 01/02),multi tv ftth du 02 01 au 01 02,2,2,6062,False,fr_bd_839181104
Multi-TV FTTH (du 02/02 au 01/03),multi tv ftth du 02 02 au 01 03,2,2,6061,False,fr_bd_839181104
Multi-TV FTTH (du 02/08 au 01/09),multi tv ftth du 02 08 au 01 09,2,2,6064,False,fr_bd_839181104
Multi-TV FTTH (du 02/10 au 01/11),multi tv ftth du 02 10 au 01 11,2,2,6061,False,fr_bd_839181104
Multi-TV FTTH (du 02/11 au 01/12),multi tv ftth du 02 11 au 01 12,2,2,6062,False,fr_bd_839181104
NOUNOURS GLUCOSE 1KG,nounours glucose 1kg,2,2,6068,False,fr_bd_888020088
O1 MENU,o1 menu,2,2,606100,False,fr_bd_839181104
OASIS POMME POIRE 24X33CL,oasis pomme poire 24x33cl,2,2,6068,False,fr_bd_839181104
Offre Spéciale Appels illimités mobiles Europe (du 02/09 au 01/10),offre speciale appels illimites mobiles europe du 02 09 au 01 10,2,2,6062,False,fr_bd_839181104
Offre Spéciale Appels illimités mobiles Europe(du 02/10 au 01/11),offre speciale appels illimites mobiles europe du 02 10 au 01 11,2,2,6061,False,fr_bd_839181104
Offre Spéciale Appels illimités mobiles Europe_(du 02/01 au 01/02),offre speciale appels illimites mobiles europe du 02 01 au 01 02,2,2,6062,False,fr_bd_839181104
Offre Spéciale Appels illimités mobiles Europe_(du 02/02 au 01/03),offre speciale appels illimites mobiles europe du 02 02 au 01 03,2,2,6061,False,fr_bd_839181104
Offre Spéciale Appels illimités mobiles Europe_(du 02/05 au 01/06),offre speciale appels illimites mobiles europe du 02 05 au 01 06,2,2,6061,False,fr_bd_839181104
PATE POUR FREINS (PDP),pate pour freins pdp,2,2,606200,False,fr_bd_839181104
PITCH BRIOCHE FRAI,pitch brioche frai,2,2,606100,False,fr_bd_839181104
PLAQUETTE FREIN BOSCH,plaquette frein bosch,2,2,6063,False,fr_bd_888020088
POIRE,poire,2,2,6068,False,fr_bd_888020088
POIVRON TRICOLORE,poivron tricolore,2,2,6068,False,fr_bd_839181104
POLISSEUSE12V+BATT.0A3000TR/MN,polisseuse12v batt 0a3000tr mn,2,2,6063,False,fr_bd_839181104
POMME DE TERRE JAUNE,pomme de terre jaune,2,2,60610000,False,fr_bd_888020088
POMME GRANNY,pomme granny,2,2,6068,False,fr_bd_888020088
POULET PANE,poulet pane,2,2,60610000,False,fr_bd_839181104
Pack AXEANE GA,pack axeane ga,2,2,6068,False,fr_bd_839181104
Pampryl Ananas 25CL,pampryl ananas 25cl,2,2,6068,False,fr_bd_839181104
Participation au retraitement des déchets,participation au retraitement des dechets,2,2,6068,False,fr_bd_839181104
Participation au retraitement des déchets ECO,participation au retraitement des dechets eco,2,2,606800,False,fr_bd_839181104
Peindre l'aile avant gauche niveau 1-M MET/UNI (peinture deux couches),peindre l aile avant gauche niveau 1 m met uni peinture deux couches,2,2,60620000,False,fr_bd_839181104
Petits gateaux,petits gateaux,2,2,606300,False,fr_bd_839181104
Prime Magic Box,prime magic box,2,2,6068,False,fr_bd_839181104
Privilège Internet illimité France,privilege internet illimite france,2,2,606,False,fr_bd_839181104
Ptite Frite HM,ptite frite hm,2,2,606100,False,fr_bd_839181104
RAISIN JAUNE ROUGE,raisin jaune rouge,2,2,6068,False,fr_bd_888020088
"RAPE ZIP,CROISES.200",rape zip croises 200,2,2,606100,False,fr_bd_839181104
RENOV.ULTIME MEGUIARS 473 ML (PROMO),renov ultime meguiars 473 ml promo,2,2,6063,False,fr_bd_839181104
