article_source,normalized_label,invoice_count,line_occurrences,sample_account,predicted_sous_profil,predicted_nature_charge,predicted_profil_facturation,classification_reason,already_in_base,partitions
GARDE - GARDE,garde garde,473,473,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_828612630 | fr_bd_837602275
Livraison,livraison,263,264,622600,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_823981568 | fr_bd_828612630 | fr_bd_832065999 | fr_bd_837602275 | fr_bd_839181104 | fr_bd_844858571 | fr_bd_880517875 | fr_bd_888020088 | fr_bd_890233000 | fr_bd_929728467 | fr_bd_931589238 | fr_bd_952061570
Indemnité forfaitaire frais de recouvrement 40 EUR (article D4415 Code du commerce),indemnite forfaitaire frais de recouvrement 40 eur article d4415 code du commerce,207,207,6278,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_828612630 | fr_bd_837602275
GARDE,garde,193,201,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
Commission sur vente EQUIPE SEM,commission sur vente equipe sem,192,192,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
RSD - RSD,rsd rsd,175,175,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_828612630 | fr_bd_837602275
IBAUF - Interbev Boeuf AM,ibauf interbev boeuf am,167,167,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_828612630 | fr_bd_837602275
Commission sur vente LeParisien,commission sur vente leparisien,163,163,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
Commission sur vente LP DIM,commission sur vente lp dim,156,156,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
IBAFF - Interbev Boeuf AM,ibaff interbev boeuf am,155,155,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
Commission Deliveroo,commission deliveroo,129,129,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875 | fr_bd_929728467 | fr_bd_952061570
Commission sur vente EQUIPE DIM,commission sur vente equipe dim,117,117,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
IVAFF - Interbev Veau AM,ivaff interbev veau am,102,102,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
IVGUF - Interbev Veau MG,ivguf interbev veau mg,96,96,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
Débit : frais supplémentaires,debit frais supplementaires,83,83,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875 | fr_bd_929728467 | fr_bd_952061570
IVAUF - Interbev Veau AM,ivauf interbev veau am,80,80,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
Prestation émetteur Bimpli - 2nd génération,prestation emetteur bimpli 2nd generation,78,104,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275 | fr_bd_844858571 | fr_bd_880517875 | fr_bd_890233000 | fr_bd_929728467
Prest.Decro.,prest decro,60,60,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_903252617
Avantage client box,avantage client box,58,58,6226,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_831060876 | fr_bd_839181104 | fr_bd_842785719 | fr_bd_952061570
Commission sur vente Le JDD,commission sur vente le jdd,58,58,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
EAU CRISTALINE PET 6X1.5L,eau cristaline pet 6x1 5l,58,58,6068,energie_et_utilites,energie,abonnement_et_consommation,keyword:eau,False,fr_bd_890233000
Frais de transaction Bimpli (1ère génération),frais de transaction bimpli 1ere generation,57,59,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275 | fr_bd_844858571 | fr_bd_880517875 | fr_bd_890233000
Prestation émetteur Bimpli (1ère génération),prestation emetteur bimpli 1ere generation,57,59,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275 | fr_bd_844858571 | fr_bd_880517875 | fr_bd_890233000
INTERBEV Boeuf,interbev boeuf,54,63,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_903252617
Frais de transaction Bimpli - 2nd génération,frais de transaction bimpli 2nd generation,54,62,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275 | fr_bd_844858571 | fr_bd_880517875 | fr_bd_890233000
Indemnité forfaitaire frais de recouvrement,indemnite forfaitaire frais de recouvrement,51,51,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_828612630 | fr_bd_837602275
Paiements supplémentaires,paiements supplementaires,51,51,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467 | fr_bd_952061570
Forfait Client B&You 260Go 5G,forfait client b you 260go 5g,50,50,6226,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_839181104
IBGUF - Interbev Boeuf MG,ibguf interbev boeuf mg,49,49,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_828612630 | fr_bd_837602275
SORTIE VOLAILLES,sortie volailles,48,48,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_903252617
Frais de livraison,frais de livraison,46,46,6227,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_832065999 | fr_bd_837602275 | fr_bd_842785719 | fr_bd_844858571 | fr_bd_890233000 | fr_bd_914837463 | fr_bd_929728467 | fr_bd_931589238
Interbev Boeuf AM,interbev boeuf am,42,43,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
Prestation émetteur - 2nd génération,prestation emetteur 2nd generation,41,54,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275 | fr_bd_880517875 | fr_bd_890233000
Contribution tarifaire d'acheminement (CTA),contribution tarifaire d acheminement cta,41,41,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_828612630 | fr_bd_832065999 | fr_bd_837602275 | fr_bd_880517875 | fr_bd_891370595 | fr_bd_929728467 | fr_bd_952061570
Frais de gestion,frais de gestion,41,41,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_823981568 | fr_bd_828612630 | fr_bd_832065999 | fr_bd_837602275 | fr_bd_839181104 | fr_bd_844858571 | fr_bd_929728467
Frais hebdomadaire de gestion,frais hebdomadaire de gestion,41,41,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
Vente LeParisien,vente leparisien,39,58,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
Vente EQUIPE SEM,vente equipe sem,39,46,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
Fourniture d'électricité,fourniture d electricite,39,39,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275 | fr_bd_842785719 | fr_bd_880517875 | fr_bd_890233000
R.S.D.,r s d,39,39,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275 | fr_bd_903252617
Frais de transaction - 2nd génération,frais de transaction 2nd generation,36,59,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275 | fr_bd_880517875 | fr_bd_890233000
Frais d'abonnement,frais d abonnement,36,36,6227,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_929728467
RIOBA ABC ORANGE TO 25CL,rioba abc orange to 25cl,36,36,6068,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_880517875 | fr_bd_890233000
Vente LP DIM,vente lp dim,36,36,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
Frais de transaction Bimpli,frais de transaction bimpli,35,63,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275 | fr_bd_880517875 | fr_bd_890233000
CRISTALI 50CL PET,cristali 50cl pet,35,35,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000 | fr_bd_891370595
Contribution au Service Public de l'Electricité (CSPE),contribution au service public de l electricite cspe,34,35,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_828612630 | fr_bd_832065999 | fr_bd_837602275 | fr_bd_842785719 | fr_bd_890233000 | fr_bd_929728467
Vente EQUIPE DIM,vente equipe dim,34,35,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
Acrobat Pro,acrobat pro,33,33,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999 | fr_bd_842785719
Gazole,gazole,31,39,6061,autres_charges_externes,frais,forfait_ou_frais,fallback,False,fr_bd_509118329 | fr_bd_792041840 | fr_bd_832065999 | fr_bd_837602275 | fr_bd_839181104 | fr_bd_888020088 | fr_bd_891370595 | fr_bd_903252617 | fr_bd_951421064 | fr_bd_952061570
Montant net facturable par Deliveroo,montant net facturable par deliveroo,31,31,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_929728467 | fr_bd_952061570
AGIOS - AGIOS,agios agios,30,30,6278,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_828612630 | fr_bd_837602275
Aide énergie,aide energie,30,30,6068,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
Contribution Tarifaire d'Acheminement électricité (CTA),contribution tarifaire d acheminement electricite cta,30,30,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275 | fr_bd_842785719 | fr_bd_890233000
Frais de service Airbnb,frais de service airbnb,30,30,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_832065999 | fr_bd_844858571
Commission Deliveroo - Livraison,commission deliveroo livraison,29,29,6228,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_929728467 | fr_bd_952061570
INTERBEV Ovin,interbev ovin,29,29,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_828612630 | fr_bd_903252617
Nettoyage en cours et en fin de chantier. Nettoyage fin de chantier et mise en décharge de déchets du chantier.,nettoyage en cours et en fin de chantier nettoyage fin de chantier et mise en decharge de dechets du chantier,29,29,6068,entretien_et_maintenance,entretien,intervention_ponctuelle,keyword_or_account:entretien,False,fr_bd_832065999 | fr_bd_929728467
Frais de service,frais de service,28,28,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_832065999 | fr_bd_839181104 | fr_bd_842785719 | fr_bd_844858571 | fr_bd_903252617 | fr_bd_952061570
Interbev Veau AM,interbev veau am,28,28,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
Accise sur l'électricité,accise sur l electricite,27,27,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999 | fr_bd_837602275 | fr_bd_842785719 | fr_bd_890233000 | fr_bd_929728467
Interbev(dont ATM)ov a/os 1 - (soumis a TVA),interbev dont atm ov a os 1 soumis a tva,27,27,6068,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
Contribution Tarifaire d'Acheminement,contribution tarifaire d acheminement,26,26,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275 | fr_bd_842785719 | fr_bd_890233000 | fr_bd_891370595 | fr_bd_903252617 | fr_bd_915197842 | fr_bd_952061570
Frais de transaction - 1ére génération,frais de transaction 1ere generation,25,25,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275 | fr_bd_880517875 | fr_bd_890233000
Cotisation RSD 1 - (soumis a TVA),cotisation rsd 1 soumis a tva,24,24,6068,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
FANTA ORANGE BTE SLIM 33CL,fanta orange bte slim 33cl,24,24,6068,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_891370595 | fr_bd_915197842
Frais Uber Eats,frais uber eats,24,24,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
INTERBEV Veau,interbev veau,24,24,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_828612630 | fr_bd_903252617
Interbev Veau MG,interbev veau mg,24,24,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
Montant dû au titre de la facture précédente,montant du au titre de la facture precedente,24,24,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467 | fr_bd_952061570
Prestation émetteur - 1ére génération,prestation emetteur 1ere generation,24,24,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275 | fr_bd_880517875 | fr_bd_890233000
Pack Service Assurance Casse Vol Calendaire,pack service assurance casse vol calendaire,23,32,6161,assurances,prime,prime_et_periode,keyword_or_account:assurance,False,fr_bd_832065999 | fr_bd_837602275 | fr_bd_842785719 | fr_bd_844858571 | fr_bd_903252617
Achat carte bancaire,achat carte bancaire,23,23,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_519665103 | fr_bd_837602275 | fr_bd_839181104 | fr_bd_844858571 | fr_bd_888020088 | fr_bd_891370595 | fr_bd_903252617
Commission d'apport d'affaires,commission d apport d affaires,23,23,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
Offre Spéciale - Réduction sur la position 1,offre speciale reduction sur la position 1,23,23,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999 | fr_bd_903252617
Abonnement fournisseur,abonnement fournisseur,22,22,6061,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_832065999 | fr_bd_837602275 | fr_bd_929728467
COCACOLA BOITE SLIM 33CL,cocacola boite slim 33cl,22,22,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000 | fr_bd_891370595 | fr_bd_952061570
Forfait Client B&You 230Go,forfait client b you 230go,22,22,6226,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_839181104
Frais techniques,frais techniques,22,22,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
SUCRE CRISTAL FIN SAC 25KG,sucre cristal fin sac 25kg,22,22,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Taxes locales - part communale,taxes locales part communale,22,22,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595 | fr_bd_952061570
Vente Le JDD,vente le jdd,22,22,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
GRANINI ORANGE 25CL,granini orange 25cl,21,21,6068,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_915197842 | fr_bd_952061570
Fourniture d'électricité - Consommation,fourniture d electricite consommation,20,22,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999 | fr_bd_929728467
EAU CRISTALINE 50CL,eau cristaline 50cl,20,20,601,energie_et_utilites,energie,abonnement_et_consommation,keyword:eau,False,fr_bd_891370595 | fr_bd_929728467
Forfait 250Go 5G avantages smartphone,forfait 250go 5g avantages smartphone,20,20,6062,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_831060876 | fr_bd_952061570
Frais fixes GARDE,frais fixes garde,20,20,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
"LAIT FERMENTE ""LUXLAIT "" 8 X 1L",lait fermente luxlait 8 x 1l,20,20,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
Loyer Commercial,loyer commercial,20,20,6132,loyers_et_charges_locatives,loyer,loyer_et_charges,keyword_or_account:loyer,False,fr_bd_931589238 | fr_bd_952061570
Spotify Premium Duo,spotify premium duo,20,20,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999
EAU CRISTALINE PET 24X50CL,eau cristaline pet 24x50cl,19,22,6068,energie_et_utilites,energie,abonnement_et_consommation,keyword:eau,False,fr_bd_880517875
"EAU DE SOURCE,6X1.5L CRISTALINE",eau de source 6x1 5l cristaline,19,20,6068,energie_et_utilites,energie,abonnement_et_consommation,keyword:eau,False,fr_bd_890233000
AGIOS,agios,19,19,6278,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_828612630 | fr_bd_837602275
Acheminement d'électricité,acheminement d electricite,19,19,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000
CHAUFFAGE,chauffage,19,19,6132,loyers_et_charges_locatives,charges_locatives,loyer_et_charges,keyword_or_account:loyer,False,fr_bd_931589238 | fr_bd_952061570
Divers,divers,19,19,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_839181104 | fr_bd_844858571 | fr_bd_888020088 | fr_bd_929728467
Provision Eau Froide,provision eau froide,19,19,6132,energie_et_utilites,energie,abonnement_et_consommation,keyword:eau,False,fr_bd_931589238 | fr_bd_952061570
Solutions Sécurité Smartphone avec Norton,solutions securite smartphone avec norton,19,19,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_831060876 | fr_bd_839181104 | fr_bd_952061570
Abonnement TICKET FLEET PRO,abonnement ticket fleet pro,18,18,6068,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_837602275
Assurance garantie modification billet et trajet perturbé,assurance garantie modification billet et trajet perturbe,18,18,616000,assurances,prime,prime_et_periode,keyword_or_account:assurance,False,fr_bd_844858571
Compteur Eau froide,compteur eau froide,18,18,6132,energie_et_utilites,energie,abonnement_et_consommation,keyword:eau,False,fr_bd_931589238 | fr_bd_952061570
Report des mois précédents,report des mois precedents,18,18,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875 | fr_bd_890233000
SEL FIN DE 25 KG,sel fin de 25 kg,18,18,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Transport,transport,17,18,624,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_832065999 | fr_bd_837602275 | fr_bd_839181104 | fr_bd_842785719
Abonnement entreprise,abonnement entreprise,17,17,606100,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_844858571
Contribution Tarifaire d'Acheminement part transport,contribution tarifaire d acheminement part transport,17,17,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Frais fixes de facturation,frais fixes de facturation,17,17,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
MINUTE MAID ORANGE SLIM 33CL,minute maid orange slim 33cl,17,17,6068,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_880517875 | fr_bd_890233000
OASIS TROPICAL SLIM BTE 33CL,oasis tropical slim bte 33cl,17,17,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_891370595 | fr_bd_952061570
Taxe Intérieure de Consommation sur le Gaz Naturel,taxe interieure de consommation sur le gaz naturel,17,17,6351,energie_gaz,energie,abonnement_et_consommation,keyword:gaz,False,fr_bd_880517875
Abonnements et services Bimpli,abonnements et services bimpli,16,18,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875 | fr_bd_890233000
Forfait Sensation 150Go 5G Avantages Smartphone,forfait sensation 150go 5g avantages smartphone,16,16,6226,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_839181104
Forfait Spécial client 350Go 5G Av. smartphone,forfait special client 350go 5g av smartphone,16,16,6061,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_839181104
Interbev Boeuf FR,interbev boeuf fr,16,16,6226,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_519665103 | fr_bd_903252617
Promotions sur les articles,promotions sur les articles,16,16,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
Remise pro 7€/mois pdt 12 mois Livebox Pro Fibre,remise pro 7 mois pdt 12 mois livebox pro fibre,16,16,6061,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_832065999 | fr_bd_842785719
SP95-E10,sp95 e10,16,16,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_509118329 | fr_bd_903252617
Avantage Internet 80Go,avantage internet 80go,15,15,6226,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_839181104
COTIS FORFAIT PRO,cotis forfait pro,15,15,6278,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_844858571 | fr_bd_888020088 | fr_bd_890233000 | fr_bd_903252617
Commission d'apport d'affaires - Transactions de 1ère génération (MASTERCARD),commission d apport d affaires transactions de 1ere generation mastercard,15,15,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
Cotisation RSD,cotisation rsd,15,15,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
FANTA ORANGE EU 33cl x 24,fanta orange eu 33cl x 24,15,15,6068,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_891370595 | fr_bd_929728467
FOND PLIE RAINE OR/NOIR 13X4.5CM PQT 200,fond plie raine or noir 13x4 5cm pqt 200,15,15,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000
Forfait Client B&You 270Go 5G,forfait client b you 270go 5g,15,15,6062,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_890233000
Frais techniques - Transactions de 1ère génération (MASTERCARD),frais techniques transactions de 1ere generation mastercard,15,15,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
POMME DE TERRE GRENAILLE,pomme de terre grenaille,15,15,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_519665103 | fr_bd_837602275
Contribution aux frais de traitement des déchets,contribution aux frais de traitement des dechets,14,18,6285,autres_charges_externes,frais,forfait_ou_frais,fallback,False,fr_bd_832065999 | fr_bd_837602275 | fr_bd_842785719 | fr_bd_844858571 | fr_bd_903252617
"Fourniture et pose de plinthes en medium prépeintes. Hauteur 10 cm. Inclus : plinthes hydrofuges dans salle de bain / salle d'eau, joint acrylique au dessus des plinthes. Localisation : ensemble de l'appartement",fourniture et pose de plinthes en medium prepeintes hauteur 10 cm inclus plinthes hydrofuges dans salle de bain salle d eau joint acrylique au dessus des plinthes localisation ensemble de l appartement,14,17,6063,energie_et_utilites,energie,abonnement_et_consommation,keyword:eau,False,fr_bd_832065999
Box 2éme ETAGE 4.5m2 / 11m3 Forfait mensuel,box 2eme etage 4 5m2 11m3 forfait mensuel,14,14,6112,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_832065999
Certificats d'Economie d'Energie (cEE),certificats d economie d energie cee,14,14,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
Commission d'apport d'affaires - Transactions de 2ème génération (CONECS),commission d apport d affaires transactions de 2eme generation conecs,14,14,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
Commission sur vente TRIBUNE,commission sur vente tribune,14,14,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875
Contribution Tarifaire d'Acheminement part distribution,contribution tarifaire d acheminement part distribution,14,14,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
F.FIXES,f fixes,14,14,6063,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_519665103 | fr_bd_837602275
Fourniture d'électricité - Abonnement,fourniture d electricite abonnement,14,14,6061,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_832065999 | fr_bd_929728467
Frais techniques - Transactions de 2ème génération (CONECS),frais techniques transactions de 2eme generation conecs,14,14,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
LIPTON PECHE BTE 33CL SLIM,lipton peche bte 33cl slim,14,14,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_891370595 | fr_bd_952061570
"Nettoyage et mise a la déchéterie. Nettoyage en cours et en fin de chantier. Aspiration des sols, mise à la déchéterie des éléments déconstruits et déchets du chantier.",nettoyage et mise a la decheterie nettoyage en cours et en fin de chantier aspiration des sols mise a la decheterie des elements deconstruits et dechets du chantier,14,14,6063,entretien_et_maintenance,entretien,intervention_ponctuelle,keyword_or_account:entretien,False,fr_bd_832065999
