article_source,normalized_label,invoice_count,line_occurrences,sample_account,already_in_base,partitions
QUEUE DE BOEUF CARCASSE ABATS,queue de boeuf carcasse abats,130,146,6011,False,fr_bd_837602275
PANSE D'OVIN SALE,panse d ovin sale,129,151,6011,False,fr_bd_837602275
CREPINE DE VEAU CARCASSE ABATS,crepine de veau carcasse abats,127,143,6011,False,fr_bd_837602275
PDT GRATIN DAUPHINOIS,pdt gratin dauphinois,127,127,6011,False,fr_bd_828612630 | fr_bd_837602275
GÉSIER DE POULET HALAL,gesier de poulet halal,126,126,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
BAVETTE ALOYAU BLANC BLEU BELGE VIANDE HALLAL,bavette aloyau blanc bleu belge viande hallal,120,351,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
PILON DE POULET HALAL CEE,pilon de poulet halal cee,120,120,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CORDON BLEU S/AT HALAL,cordon bleu s at halal,118,118,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
BAVETTE ALOYAU BLANC BLEU BELGE,bavette aloyau blanc bleu belge,114,278,6011,False,fr_bd_828612630 | fr_bd_837602275
AILE DE POULET HALAL,aile de poulet halal,114,119,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
QUEUE DE BOEUF,queue de boeuf,111,124,6011,False,fr_bd_519665103 | fr_bd_837602275
PIED DE VEAU - CARCASSE ABATS,pied de veau carcasse abats,109,116,6011,False,fr_bd_837602275
VEAU,veau,106,121,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
FILET DE POULET HALAL UE origine : NL,filet de poulet halal ue origine nl,105,107,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
QUEUE DE VEAU,queue de veau,102,119,6011,False,fr_bd_519665103 | fr_bd_837602275
BAVETTE ALOYAU - VIANDE HALLAL BLANC BLEU BELGE,bavette aloyau viande hallal blanc bleu belge,101,311,6011,False,fr_bd_828612630 | fr_bd_837602275
QUEUE DE VEAU CARCASSE ABATS,queue de veau carcasse abats,101,108,6011,False,fr_bd_837602275
CARRE AGNEAU,carre agneau,95,119,6011,False,fr_bd_828612630 | fr_bd_837602275
TESTICULE DE MOUTON,testicule de mouton,94,116,6011,False,fr_bd_837602275
PAN.DOUBLE DE VEAU,pan double de veau,93,106,6011,False,fr_bd_828612630 | fr_bd_837602275
PILON DE POULET HALAL UE origine : NL,pilon de poulet halal ue origine nl,93,95,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
COLLIER AGNEAU,collier agneau,91,103,607,False,fr_bd_519665103 | fr_bd_837602275
BASSE COTE SOUS VIDE BEUF,basse cote sous vide beuf,88,112,6011,False,fr_bd_837602275
GÉSIER DE POULET HALAL UE,gesier de poulet halal ue,88,88,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
LAPIN X4 HALAL,lapin x4 halal,88,88,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CUISSE DE POULET HALAL UE origine : NL,cuisse de poulet halal ue origine nl,87,89,6011,False,fr_bd_837602275
PANSE D'OVIN SALE CARCASSE ABATS,panse d ovin sale carcasse abats,84,92,6011,False,fr_bd_837602275
NUGGETS DE POULET AUTHENTIC HALAL,nuggets de poulet authentic halal,84,88,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
"BRESAOLA ""BLACK ANGUS"" 1/2",bresaola black angus 1 2,83,86,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
DONUTS FILET POULET,donuts filet poulet,83,83,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
LANGUE DE VEAU,langue de veau,80,84,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
LANGUE DE MOUTON,langue de mouton,78,83,6011,False,fr_bd_837602275
CUISSE POULET HALAL CEE 10KG origine : NL,cuisse poulet halal cee 10kg origine nl,78,78,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CREPINE VEAU,crepine veau,77,77,6011,False,fr_bd_519665103 | fr_bd_828612630
CREPINE DE MOUTON CARCASSE ABATS,crepine de mouton carcasse abats,75,79,6011,False,fr_bd_837602275
Eco Contribution,eco contribution,74,128,60620000,False,fr_bd_832065999
FILET VIANDE HALLAL BLANC BLEU BELGE,filet viande hallal blanc bleu belge,73,113,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
AidEnergie,aidenergie,73,73,6068,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
NERVEUX SOUS VIDE VEAU,nerveux sous vide veau,72,74,6011,False,fr_bd_837602275
FILET BLANC BLEU BELGE VIANDE HALLAL,filet blanc bleu belge viande hallal,71,110,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
LANGUE DE MOUTON - CARCASSE ABATS,langue de mouton carcasse abats,69,73,6011,False,fr_bd_837602275
"LAIT FERMENTE ""LUXLAIT "" 8 X 1L",lait fermente luxlait 8 x 1l,69,69,601,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
POULET PAC HALAL UE,poulet pac halal ue,67,106,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
FILET BLANC BLEU BELGE,filet blanc bleu belge,66,131,6011,False,fr_bd_828612630 | fr_bd_837602275
FILET DE POULET HALAL UE origine : UE,filet de poulet halal ue origine ue,66,68,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CHEVREAU HALAL,chevreau halal,64,73,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
PALERON SOUS VIDE BEUF,paleron sous vide beuf,62,62,6011,False,fr_bd_837602275
RAQUETTE BLANC BLEU BELGE,raquette blanc bleu belge,61,85,6011,False,fr_bd_828612630 | fr_bd_837602275
FILET DE POULET HALAL CEE origine : NL,filet de poulet halal cee origine nl,61,61,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
TETE DE MOUTON,tete de mouton,60,65,6011,False,fr_bd_837602275
BOEUF FUMÉ CUIT 4 ÉPICES HALAL,boeuf fume cuit 4 epices halal,60,62,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
TESTICULE DE MOUTON CARCASSE ABATS,testicule de mouton carcasse abats,58,60,6011,False,fr_bd_837602275
TETE DE MOUTON CARCASSE ABATS,tete de mouton carcasse abats,57,62,6011,False,fr_bd_837602275
FILET DE CANARD HALAL,filet de canard halal,57,61,6011,False,fr_bd_828612630 | fr_bd_837602275
CECINA DE LEON HALAL,cecina de leon halal,57,59,6011,False,fr_bd_828612630 | fr_bd_837602275
PAN.SIMPLE DE VEAU,pan simple de veau,56,63,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
VOL'LIGHT TUNISIENNE HALAL,vol light tunisienne halal,56,59,6011,False,fr_bd_828612630 | fr_bd_837602275
MILIEU TRAIN VIANDE HALLAL BLANC BLEU BELGE,milieu train viande hallal blanc bleu belge,55,117,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CREPINE DE MOUTON,crepine de mouton,53,62,6011,False,fr_bd_837602275
ROGNON DE BOEUF,rognon de boeuf,53,54,6011,False,fr_bd_519665103 | fr_bd_837602275
BACON DE VEAU HALAL,bacon de veau halal,53,53,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
ECO-PARTICIPATION,eco participation,52,52,6068,False,fr_bd_832065999 | fr_bd_837602275
FILET DE POULET HALAL UE origine : BE,filet de poulet halal ue origine be,52,52,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
POULET PAC HALAL origine : FR,poulet pac halal origine fr,51,67,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
GRAND SAUCISSON SEC HALAL COUPE,grand saucisson sec halal coupe,51,54,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
FILET DE POULET HALLAL,filet de poulet hallal,51,51,6011,False,fr_bd_837602275
PIED MOUTON,pied mouton,50,52,6011,False,fr_bd_837602275
NUGGETS PLT AUTHENTIC HALAL,nuggets plt authentic halal,50,50,6011,False,fr_bd_828612630 | fr_bd_837602275
FRESSURE AGNEAU PIECE provenan,fressure agneau piece provenan,49,50,6011,False,fr_bd_519665103 | fr_bd_828612630
FILET DE DINDE CEE HALAL,filet de dinde cee halal,49,49,6011,False,fr_bd_519665103 | fr_bd_828612630
Gazole,gazole,47,58,6063,False,fr_bd_828612630 | fr_bd_832065999 | fr_bd_837602275
PIED MOUTON CARCASSE ABATS,pied mouton carcasse abats,47,47,6011,False,fr_bd_837602275
RAQUETTE VIANDE HALLAL BLANC BLEU BELGE,raquette viande hallal blanc bleu belge,46,76,6011,False,fr_bd_828612630 | fr_bd_837602275
RAQUETTE BLANC BLEU BELGE VIANDE HALLAL,raquette blanc bleu belge viande hallal,46,67,6011,False,fr_bd_828612630 | fr_bd_837602275
AGNEAU FRESSURE ORIGINE :FRANCE,agneau fressure origine france,45,45,6011,False,fr_bd_519665103 | fr_bd_828612630
MILIEU TRAIN BLANC BLEU BELGE VIANDE HALLAL,milieu train blanc bleu belge viande hallal,44,117,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
BOEUF CUISSE FLANCH BLANC BLEU BELGE,boeuf cuisse flanch blanc bleu belge,44,60,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
BOEUF FUMÉ CUIT 4ÉPICES HALAL,boeuf fume cuit 4epices halal,44,45,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CORIZO DINDE S/V HALAL,corizo dinde s v halal,44,44,6013,False,fr_bd_519665103 | fr_bd_837602275
CUISSE DE POULET HALAL UE 10KG origine : NL,cuisse de poulet halal ue 10kg origine nl,44,44,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
VEAU FOIE,veau foie,44,44,607000,False,fr_bd_519665103
ENTRECOTE SOUS VIDE BEUF,entrecote sous vide beuf,43,47,6011,False,fr_bd_837602275
CHORIZO HALAL COUPE,chorizo halal coupe,43,45,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
PILON DE POULET HALAL,pilon de poulet halal,42,45,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
OLIVES VERTES DENOYAUTEES 6KG,olives vertes denoyautees 6kg,42,42,601,False,fr_bd_519665103 | fr_bd_837602275
TESTICULE AGNEAU,testicule agneau,42,42,6011,False,fr_bd_519665103 | fr_bd_828612630
JOUE DE BOEUF,joue de boeuf,41,47,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CAILLE HALAL,caille halal,40,41,6011,False,fr_bd_828612630 | fr_bd_837602275
LANGUE DE VEAU CARCASSE ABATS,langue de veau carcasse abats,40,41,6011,False,fr_bd_837602275
PILON DE POULET HALAL CEE origine : NL,pilon de poulet halal cee origine nl,40,40,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
AILES DE POULET 3 PHALANGES HALAL CEE,ailes de poulet 3 phalanges halal cee,39,39,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
Saucissons secs 280 grs Halal au Poivre,saucissons secs 280 grs halal au poivre,39,39,601,False,fr_bd_828612630 | fr_bd_837602275
BAVETTE ALOYAU,bavette aloyau,38,101,6011,False,fr_bd_828612630 | fr_bd_837602275
MILIEU TRAIN BLANC BLEU BELGE,milieu train blanc bleu belge,37,94,6011,False,fr_bd_837602275
PLAT BLANC BLEU BELGE,plat blanc bleu belge,37,43,6011,False,fr_bd_519665103 | fr_bd_837602275
AGNEAU TETE ORIGINE :FRANCE,agneau tete origine france,37,37,6011,False,fr_bd_519665103
JAMBON DE DINDE,jambon de dinde,37,37,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
VEAU CREPINE,veau crepine,37,37,607000,False,fr_bd_519665103
VEAU FOIE ORIGINE :PAYS-BAS TRACE : 0000001 N° ABT : NL,veau foie origine pays bas trace 0000001 n abt nl,37,37,6011,False,fr_bd_519665103 | fr_bd_828612630
BOEUF CUISSE FLANCH BLANC BLEU BELGE VIANDE HALLAL,boeuf cuisse flanch blanc bleu belge viande hallal,36,60,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
SOURIS AGNEAU CARTON SOUS VIDE AGNEAU,souris agneau carton sous vide agneau,36,41,6011,False,fr_bd_837602275
POULET EFFILÉ HALAL,poulet effile halal,36,39,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
PANÉ DE VOLAILLE HALAL UE,pane de volaille halal ue,36,37,6013,False,fr_bd_519665103 | fr_bd_837602275
PILON DE POULET HALAL UE origine : UE,pilon de poulet halal ue origine ue,36,37,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
AILE DE POULET 3 PHALANGES HALAL UE,aile de poulet 3 phalanges halal ue,36,36,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
Acrobat Pro,acrobat pro,36,36,606100,False,fr_bd_832065999
QUEUE BOEUF provenance FR,queue boeuf provenance fr,36,36,6011,False,fr_bd_519665103 | fr_bd_828612630
ESCALOPE VIENNOISE HALAL,escalope viennoise halal,34,38,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
Colis Méchouia Piquante 220g,colis mechouia piquante 220g,34,34,601,False,fr_bd_828612630 | fr_bd_837602275
DEMI.CARCASSE DE VEAU,demi carcasse de veau,34,34,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
OLIVE NOIRE FACON GRECE 8KG,olive noire facon grece 8kg,34,34,601,False,fr_bd_519665103 | fr_bd_837602275
VOL'LIGHT FINES HERBES HALAL,vol light fines herbes halal,34,34,6011,False,fr_bd_828612630 | fr_bd_837602275
PANSETTE VERTE SALEE OVIN,pansette verte salee ovin,33,51,6011,False,fr_bd_837602275
Fourniture des accessoires nécessaire ci-dessous.,fourniture des accessoires necessaire ci dessous,33,42,6063,False,fr_bd_832065999
CASQUE AGNEAU,casque agneau,33,40,6011,False,fr_bd_519665103 | fr_bd_837602275
Pastrami de Veau Halal Premier Choix 378,pastrami de veau halal premier choix 378,33,34,601,False,fr_bd_828612630 | fr_bd_837602275
AGNEAU FRESSURE ORIGINE :FRANCE TRACE : 0000001 N° ABT : FR,agneau fressure origine france trace 0000001 n abt fr,33,33,6011,False,fr_bd_519665103 | fr_bd_828612630
ROGNON DE BOEUF - CARCASSE ABATS,rognon de boeuf carcasse abats,33,33,6011,False,fr_bd_837602275
BOEUF CUISSE FLANCH - VIANDE HALLAL - BLANC BLEU BELGE,boeuf cuisse flanch viande hallal blanc bleu belge,32,47,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
PLAT BLANC BLEU BELGE VIANDE HALLAL,plat blanc bleu belge viande hallal,32,40,6011,False,fr_bd_519665103 | fr_bd_837602275
CARRE DE VEAU SANS ROGNONS - VIANDE HALLAL,carre de veau sans rognons viande hallal,32,39,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
Blanc de Dinde Fumé 1964 bloc 378,blanc de dinde fume 1964 bloc 378,32,34,601,False,fr_bd_828612630 | fr_bd_837602275
COUSCOUS MOYEN DARI 12 X 1 KG,couscous moyen dari 12 x 1 kg,32,32,601,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
Colis Méchouia Douce 220g,colis mechouia douce 220g,32,32,601,False,fr_bd_828612630 | fr_bd_837602275
DEHANCHE AVEC FILET TOP NOIRE DE BALTIQUE SELECTA,dehanche avec filet top noire de baltique selecta,32,32,6011,False,fr_bd_837602275
RAIB LVB BRIQUE 1 LITRE,raib lvb brique 1 litre,32,32,601,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
ROULADE NATURE FUMÉ HALAL,roulade nature fume halal,32,32,6011,False,fr_bd_828612630 | fr_bd_837602275
FOIE OVIN,foie ovin,31,70,6011,False,fr_bd_837602275
AVANT DROIT 5 COTES - VIANDE HALLAL BLANC BLEU BELGE,avant droit 5 cotes viande hallal blanc bleu belge,31,45,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
AILE DE POULET HALAL UE origine : UE,aile de poulet halal ue origine ue,31,31,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CAILLES HALAL,cailles halal,31,31,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
FILET DE POULET HALAL CEE origine : BE,filet de poulet halal cee origine be,31,31,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
FRESSURE AGNEAU PIECE,fressure agneau piece,31,31,6011,False,fr_bd_519665103 | fr_bd_828612630
HAMOUD SELECTO PLASTIQUE 6 X 1.5L,hamoud selecto plastique 6 x 1 5l,31,31,601,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
Préparation de la zone de travail. Inclus : protection de la zone de travail.,preparation de la zone de travail inclus protection de la zone de travail,31,31,6068,False,fr_bd_832065999
CREPINE OVIN,crepine ovin,30,37,6011,False,fr_bd_837602275
PLAT VIANDE HALLAL BLANC BLEU BELGE,plat viande hallal blanc bleu belge,30,36,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
ALOYAU MILIEU TRAIN - VIANDE HALLAL BLANC BLEU BELGE,aloyau milieu train viande hallal blanc bleu belge,30,33,6011,False,fr_bd_519665103 | fr_bd_828612630
Gros sec Halal,gros sec halal,30,31,601,False,fr_bd_828612630 | fr_bd_837602275
AGNEAU CREPINE,agneau crepine,30,30,607000,False,fr_bd_519665103 | fr_bd_828612630
BOEUF QUEUE SOUS-VIDE ORIGINE :FRANCE,boeuf queue sous vide origine france,30,30,6011,False,fr_bd_519665103 | fr_bd_828612630
CREPINE AGNEAU,crepine agneau,30,30,6011,False,fr_bd_519665103 | fr_bd_828612630
OEUFS BOITE X6 BIO,oeufs boite x6 bio,30,30,6011,False,fr_bd_828612630 | fr_bd_837602275
QUEUE VEAU (V) provenance FR,queue veau v provenance fr,30,30,607,False,fr_bd_519665103 | fr_bd_828612630
RUMSTEACK,rumsteack,29,56,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
BOEUF CUISSE HANCHE BLANC BLEU BELGE,boeuf cuisse hanche blanc bleu belge,29,49,6011,False,fr_bd_837602275
Pastrami 'original' Halal en Bloc,pastrami original halal en bloc,29,30,601,False,fr_bd_828612630 | fr_bd_837602275
AILES DE POULET HALAL CEE origine : BE,ailes de poulet halal cee origine be,29,29,6071,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
JAMBON DE VEAU HALAL KG,jambon de veau halal kg,29,29,6011,False,fr_bd_828612630 | fr_bd_837602275
Saucissons secs 280 grs Halal aux Noisettes,saucissons secs 280 grs halal aux noisettes,29,29,601,False,fr_bd_828612630 | fr_bd_837602275
CARRE AGNEAU MOINS DE 12 MOIS,carre agneau moins de 12 mois,28,43,6011,False,fr_bd_828612630 | fr_bd_837602275
AGNEAU PANSE VERTE SALEE,agneau panse verte salee,28,28,607000,False,fr_bd_519665103 | fr_bd_828612630
CERVELLE VEAU UE (V),cervelle veau ue v,28,28,6011,False,fr_bd_519665103 | fr_bd_828612630
FILET DE DINDE HALAL origine : FR,filet de dinde halal origine fr,28,28,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
"POIS CHICHE BOCAL ""MIDO"" 570GX12",pois chiche bocal mido 570gx12,28,28,601,False,fr_bd_519665103 | fr_bd_837602275
RUMSTEACK BLANC BLEU BELGE VA VIANDE VIANDE HALLAL,rumsteack blanc bleu belge va viande viande hallal,27,56,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
VEAU PIED ORIGINE :FRANCE,veau pied origine france,27,28,6011,False,fr_bd_519665103 | fr_bd_828612630
COUSCOUS FIN DARI 12 X 1 KG,couscous fin dari 12 x 1 kg,27,27,601,False,fr_bd_828612630 | fr_bd_837602275
Emballages,emballages,27,27,60225,False,fr_bd_519665103 | fr_bd_828612630
Gros Chorizhal Halal,gros chorizhal halal,27,27,601,False,fr_bd_828612630 | fr_bd_837602275
HAMOUD BLANCHE PLASTIQUE 6 X 1.5L,hamoud blanche plastique 6 x 1 5l,27,27,601,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
LANGUE AGNEAU provenance FR,langue agneau provenance fr,27,27,6011,False,fr_bd_519665103 | fr_bd_828612630
Nettoyage en cours et en fin de chantier. Nettoyage fin de chantier et mise en décharge de déchets du chantier.,nettoyage en cours et en fin de chantier nettoyage fin de chantier et mise en decharge de dechets du chantier,27,27,6068,False,fr_bd_832065999
Saucissons secs 280 g Halal Nature,saucissons secs 280 g halal nature,27,27,601,False,fr_bd_828612630 | fr_bd_837602275
RUMSTEACK VA VIANDE VIANDE HALLAL BLANC BLEU BELGE,rumsteack va viande viande hallal blanc bleu belge,26,51,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
CERVELLE DE VEAU,cervelle de veau,26,31,6011,False,fr_bd_837602275
ROGNON BLANC OVIN,rognon blanc ovin,26,31,6011,False,fr_bd_837602275
DEMI ROSBIF AGNEAU,demi rosbif agneau,26,28,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
FILET DE POULET FERMIER HALAL S/AT,filet de poulet fermier halal s at,26,28,6011,False,fr_bd_828612630 | fr_bd_837602275
AILE DE POULET HALAL UE origine : NL,aile de poulet halal ue origine nl,26,26,6011,False,fr_bd_828612630 | fr_bd_837602275
Aide énergie,aide energie,26,26,6068,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
DÉLICE DE POULET NATURE HALAL,delice de poulet nature halal,26,26,601,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
F. FIXE,f fixe,26,26,6068,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
FOURRURE 45 NF,fourrure 45 nf,26,26,60620000,False,fr_bd_832065999
LAIT FERMENTE CHERGUI 10 X 1L,lait fermente chergui 10 x 1l,26,26,6061,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
PIED VEAU provenance FR,pied veau provenance fr,26,26,6011,False,fr_bd_519665103 | fr_bd_828612630
Roulade poulet fines herbes Halal,roulade poulet fines herbes halal,26,26,601,False,fr_bd_828612630 | fr_bd_837602275
SEMOULE BLE EXTRA FINE RENARD 10x1KG,semoule ble extra fine renard 10x1kg,26,26,601,False,fr_bd_828612630 | fr_bd_837602275
MILIEU TRAIN CARCASSE BEUF,milieu train carcasse beuf,25,92,6011,False,fr_bd_828612630 | fr_bd_837602275
CULOTTE AGNEAU,culotte agneau,25,29,6011,False,fr_bd_519665103 | fr_bd_837602275
MAGRET DE CANARD HALAL,magret de canard halal,25,26,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
AGNEAU MOINS DE 12 MOIS PRODUITS REFRIGERES,agneau moins de 12 mois produits refrigeres,25,25,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
GARDE - GARDE,garde garde,25,25,6068,False,fr_bd_837602275
SAUCE NAWHAL'S ALGERIENNE 12X500ML,sauce nawhal s algerienne 12x500ml,25,25,601,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
Saucissons secs 280 grs Halal à la Truffe Premier Choix,saucissons secs 280 grs halal a la truffe premier choix,25,25,601,False,fr_bd_828612630 | fr_bd_837602275
BAVETTE ALOYAU BLANC BLEU BELGE VA VIANDE VIANDE HALLAL,bavette aloyau blanc bleu belge va viande viande hallal,24,62,6011,False,fr_bd_828612630 | fr_bd_837602275
POULET FERMIER HALAL PAC origine : FR,poulet fermier halal pac origine fr,24,30,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
COLLIER AGNEAU MOINS DE 12 MOIS,collier agneau moins de 12 mois,24,27,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
COQUELET HALAL origine : FR,coquelet halal origine fr,24,26,6011,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
Roulade poulet olives Halal,roulade poulet olives halal,24,26,601,False,fr_bd_828612630 | fr_bd_837602275
BACON DE DINDE HALAL,bacon de dinde halal,24,25,6011,False,fr_bd_828612630 | fr_bd_837602275
